Id,Year,New Or Old,Name,Address,Production Origin,Color,Fuel,Car Gearbox,Used (kilomet),Price
3715453,2017,Xe cũ,"Lexus RX 350",Hà Nội,Xe nhập khẩu,màu đen,"máy xăng 3.5 L",số tự động,45000,3 Tỷ 250 Triệu
4375369,2021,Xe cũ,"VinFast Lux A 2.0 Premium 2.0 AT",Hà Nội,Xe lắp ráp trong nước,màu trắng,"máy xăng 2.0 L",số tự động,7000,930 Triệu
4349632,2010,Xe cũ,"Lexus LX 570",Hà Nội,Xe nhập khẩu,màu đen,"máy xăng 5.7 L",số tự động,90000,2 Tỷ 660 Triệu
3797474,2022,Xe mới,"Honda City L 1.5 AT",Hà Nội,Xe lắp ráp trong nước,màu đỏ,"máy xăng 1.5 L",số tự động,0,534 Triệu
4342068,2022,Xe mới,"Ford Ranger XLS 2.2L 4x2 AT",TP HCM,Xe lắp ráp trong nước,màu trắng,"máy dầu 2.2 L",số tự động,0,662 Triệu
4374616,2016,Xe cũ,"Lexus RX 200t",TP HCM,Xe nhập khẩu,màu đỏ,"máy xăng 2.0 L",số tự động,94000,2 Tỷ 399 Triệu
4395455,2019,Xe cũ,"Ford Ranger Raptor 2.0L 4x4 AT",TP HCM,Xe nhập khẩu,màu đen,"máy dầu 2.0 L",số tự động,40000,1 Tỷ 275 Triệu
4396095,2021,Xe cũ,"Kia Sorento Signature 2.5 AT AWD",TP HCM,Xe lắp ráp trong nước,màu đỏ,"máy xăng 2.5 L",số tự động,8000,1 Tỷ 199 Triệu
4342225,2022,Xe mới,"Ford Ranger Wildtrak 2.0L 4x4 AT",TP HCM,Xe lắp ráp trong nước,màu cam,"máy dầu 2.0 L",số tự động,0,937 Triệu
3877810,2021,Xe cũ,"Mercedes Benz GLC 200 4Matic",TP HCM,Xe lắp ráp trong nước,màu đen,"máy xăng 2.0 L",số tự động,50,2 Tỷ 499 Triệu
4395077,2022,Xe mới,"Toyota Camry 2.0G",Hà Nội,Xe nhập khẩu,màu đen,"máy xăng 2.0 L",số tự động,0,1 Tỷ 50 Triệu
4394817,2022,Xe mới,"Toyota Corolla altis 1.8G",Hà Nội,Xe nhập khẩu,màu đen,"máy xăng 1.8 L",số tự động,0,699 Triệu
4175934,2021,Xe cũ,"Lexus LX 570",TP HCM,Xe nhập khẩu,màu đen,"máy xăng 5.7 L",số tự động,5000,9 Tỷ 600 Triệu
4389021,2017,Xe cũ,"Mercedes Benz GLC 300 4Matic",Hà Nội,Xe lắp ráp trong nước,màu trắng,"máy xăng 2.0 L",số tự động,60000,1 Tỷ 660 Triệu
