price,Displacement,Odometer,Stroke,Year,Weight,Engine Torque,Fuel Capacity
16494.0,1753.409,19.0,4.374,2020.0,754.0,110.0,3.5
15995.0,1753.409,5109.0,4.374,2020.0,754.0,110.0,3.5
18995.0,1868.118,159.0,4.5,2020.0,754.0,118.0,3.6
18995.0,1868.118,20357.466614906833,4.5,2020.0,754.0,118.0,3.6
15999.0,1753.409,20357.466614906833,4.375,2016.0,754.0,110.0,5.0
17999.0,1868.118,1723.0,4.5,2020.0,754.0,119.0,5.0
17999.0,1868.118,2390.0,4.5,2020.0,754.0,119.0,5.0
13999.0,1753.409,5790.0,4.374,2020.0,754.0,110.0,3.5
11499.0,1202.806,81.0,3.8,2020.0,754.0,73.0,3.3
11995.0,1202.806,193.0,3.8,2020.0,754.0,73.0,3.3
12495.0,1202.806,3823.0,3.8,2020.0,754.0,73.0,2.1
12999.0,1202.806,524.0,3.8,2020.0,754.0,73.0,2.1
12995.0,1202.806,2379.0,3.8,2020.0,754.0,73.0,2.1
9994.0,883.259,542.0,3.811,2020.0,754.0,53.8,3.3
9295.0,883.259,4867.0,3.811,2020.0,754.0,53.8,3.3
9995.0,883.259,547.0,3.811,2020.0,754.0,53.8,3.3
20999.0,1811.0,3651.0,4.449,2020.0,754.8326035911603,119.0,5.5
20995.0,1200.0,1151.0,4.374,2020.0,754.8326035911603,92.0,5.0
18995.0,1301.0,20357.466614906833,2.769,2003.0,754.8326035911603,123.0,5.0
5495.0,1573.152,90.0,4.375,2020.0,754.8326035911603,95.2,6.0
5499.0,84.9,97.0,3.0,2020.0,754.8326035911603,104.7,6.0
11995.0,350.0,10976.0,4.374,2020.0,754.8326035911603,119.0,4.81
20495.0,1746.0,4584.0,4.374,2020.0,754.8326035911603,114.0,3.3
7495.0,942.0,1609.0,3.959,2020.0,754.8326035911603,70.8,3.4
22999.0,1130.0,7428.0,4.374,2019.0,754.8326035911603,100.0,6.0
22499.0,1202.806,41483.0,4.374,2019.0,754.8326035911603,105.5,6.0
19995.0,1868.0,8499.0,4.5,2019.0,754.0,119.0,5.0
20999.0,1868.0,8300.0,4.5,2019.0,754.0,119.0,5.0
19450.0,1746.0,20357.466614906833,4.374,2003.0,754.0,109.0,5.0
20999.0,1868.0,6422.0,4.5,2019.0,754.0,119.0,5.0
20459.0,1868.0,20357.466614906833,4.5,2016.0,754.0,119.0,5.0
20995.0,1868.0,2090.0,4.5,2019.0,754.0,119.0,5.0
9499.0,1746.0,8731.0,4.374,2019.0,756.0,111.0,6.0
19495.0,1746.0,18111.0,4.374,2019.0,756.0,111.0,6.0
19995.0,1746.0,2795.0,4.375,2019.0,756.0,111.0,6.0
23999.0,1746.0,20357.466614906833,4.375,2021.0,756.0,111.0,6.0
26999.0,1868.0,20357.466614906833,4.5,2015.0,756.0,122.0,6.0
27999.0,1868.0,18000.0,4.5,2019.0,756.0,122.0,6.0
29995.0,1868.0,5627.0,4.5,2019.0,756.0,122.0,6.0
35853.0,1923.0,1658.0,4.5,2019.0,756.0,125.0,6.0
