price, origin,condition,carType,km,carColor,interiorColor,carDoor,carSeat,gear,wheelDrive,carMaker,yearsManufacturing,capacity,carEngine
937.0,Nhập khẩu,Xe mới,Bán tải / Pickup,0,Cam,Đen,4,5.0,Số tự động,"4WD,Dẫn động 4 bánh",Ford,2021,2.0,Dầu
568.0,Nhập khẩu,Xe mới,Sedan,0,Cam,Đen,4,5.0,Số tự động,"FWD,Dẫn động cầu trước",Nissan,2021,1.0,Xăng
370.0,Lắp ráp trong nước,Xe đã dùng,Hatchback,75000,Trắng,Đen,5,5.0,Số tự động,"FWD,Dẫn động cầu trước",Ford,2016,1.0,Xăng
365.0,Nhập khẩu,Xe đã dùng,Sedan,101111,Bạc,Kem,4,5.0,Số tự động,"FWD,Dẫn động cầu trước",Acura,2007,3.2,Xăng
581.0,Lắp ráp trong nước,Xe mới,Sedan,0,Đen,Kem,4,5.0,Số tự động,"FWD,Dẫn động cầu trước",Toyota,2022,1.5,Xăng
999.0,Nhập khẩu,Xe đã dùng,SUV,73000,Trắng,Đen,5,8.0,Số tự động,"RFD,Dẫn động cầu sau",Toyota,2018,2.4,Dầu
6400.0,Nhập khẩu,Xe đã dùng,SUV,0,Đen,Đen,5,4.0,Số tự động,"AWD,4 bánh toàn thời gian",LandRover,2015,5.0,Xăng
2345.0,Lắp ráp trong nước,Xe đã dùng,SUV,20000,Trắng,Kem,5,5.0,Số tự động,"AWD,4 bánh toàn thời gian",Mercedes,2020,5.7,Xăng
658.0,Lắp ráp trong nước,Xe đã dùng,Sedan,30000,Kem,Kem,4,5.0,Số tự động,"FWD,Dẫn động cầu trước",Hyundai,2020,2.0,Xăng
1625.0,Nhập khẩu,Xe đã dùng,SUV,50000,Đen,Đen,5,7.0,Số tự động,"4WD,Dẫn động 4 bánh",Toyota,2015,2.7,Xăng
570.0,Lắp ráp trong nước,Xe đã dùng,Sedan,4500,Trắng,Kem,4,5.0,Số tự động,"FWD,Dẫn động cầu trước",Toyota,2020,1.5,Xăng
848.0,Lắp ráp trong nước,Xe mới,Bán tải / Pickup,0,Vàng,Nâu,4,5.0,Số tự động,"4WD,Dẫn động 4 bánh",Ford,2022,2.0,Dầu
1398.0,Lắp ráp trong nước,Xe mới,SUV,0,Trắng,Nâu,5,7.0,Số tự động,"AWD,4 bánh toàn thời gian",Hyundai,2022,2.2,Dầu
730.0,Nhập khẩu,Xe mới,Crossover,0,Trắng,Đen,5,5.0,Số tự động,"FWD,Dẫn động cầu trước",Hyundai,2022,1.5,Xăng
360.0,Lắp ráp trong nước,Xe đã dùng,Truck,86000,Xanh,Đen,2,3.0,Số tay,"RFD,Dẫn động cầu sau",Kia,2017,3.0,Dầu
720.0,Lắp ráp trong nước,Xe đã dùng,Sedan,0,Đỏ,Nâu,4,5.0,Số tự động,"RFD,Dẫn động cầu sau",VinFast,2020,2.0,Xăng
831.0,Nhập khẩu,Xe mới,Crossover,0,Trắng,Đen,4,5.0,Số tự động,"FWD,Dẫn động cầu trước",Honda,2022,1.5,Xăng
1118.0,Lắp ráp trong nước,Xe mới,SUV,0,Trắng,Đen,5,7.0,Số tự động,"FWD,Dẫn động cầu trước",Honda,2022,1.5,Xăng
662.0,Lắp ráp trong nước,Xe mới,Bán tải / Pickup,0,Nâu,Đen,4,5.0,Số tự động,"RFD,Dẫn động cầu sau",Ford,2022,2.2,Dầu
890.0,Nhập khẩu,Xe đã dùng,SUV,17000,Xanh,Đen,5,5.0,Số tự động,"FWD,Dẫn động cầu trước",Toyota,2020,1.8,Xăng
499.0,Lắp ráp trong nước,Xe đã dùng,Sedan,45000,Trắng,Kem,4,5.0,Số tự động,"FWD,Dẫn động cầu trước",Toyota,2019,1.5,Xăng
662.0,Lắp ráp trong nước,Xe mới,Bán tải / Pickup,0,Đen,Đen,4,5.0,Số tự động,"RFD,Dẫn động cầu sau",Ford,2022,2.2,Dầu
