,Name,Price,Rating,Reviews,Location
68,Hotel Continental Saigon,1793.552,8.0,216.0,"District 1, Ho Chi Minh City"
69,Huong Sen Hotel,807.563,8.6,660.0,"District 1, Ho Chi Minh City"
70,Vinpearl Luxury Landmark 81,3981.826,9.0,347.0,"Binh Thanh, Ho Chi Minh City"
71,Ailen Garden Hotel,434.7,8.1,133.0,"District 1, Ho Chi Minh City"
72,Na Nue Hotel,481.574,8.3,371.0,"District 1, Ho Chi Minh City"
73,Pullman Saigon Centre,2272.0,8.5,466.0,"District 1, Ho Chi Minh City"
74,Homestead Parkview,789.21,8.1,290.0,"District 1, Ho Chi Minh City"
75,Cabana Hotel SaiGon,202.5,7.6,703.0,"District 1, Ho Chi Minh City"
76,Rex Hotel,2714.026,8.2,629.0,"District 1, Ho Chi Minh City"
77,Cap Town Hotel,546.197,8.7,111.0,"District 1, Ho Chi Minh City"
78,Sunshine Boutique Hotel Phu My Hung,642.048,8.0,87.0,"District 7, Ho Chi Minh City"
79,RedDoorz Premium Ura Hotel,440.257,8.5,13.0,"District 7, Ho Chi Minh City"
80,Aladdin Hotel,490.0,8.0,135.0,"Phu Nhuan, Ho Chi Minh City"
81,Botanist Lab Minihotel by CIRCADIAN,751.12,8.1,15.0,"District 1, Ho Chi Minh City"
82,Vy Khanh Guesthouse,350.0,9.5,197.0,"District 1, Ho Chi Minh City"
83,CityHouse - Kim Nguyên,934.413,9.1,68.0,"Phu Nhuan, Ho Chi Minh City"
84,The Lumiere,410.4,7.7,164.0,"Tan Binh, Ho Chi Minh City"
85,Icon Saigon - LifeStyle Design Hotel,1263.386,8.7,1322.0,"District 1, Ho Chi Minh City"
86,Liberty Central Saigon Centre Hotel,1311.245,8.1,376.0,"District 1, Ho Chi Minh City"
87,Bay Hotel Ho Chi Minh,714.865,8.2,211.0,"District 1, Ho Chi Minh City"
88,Muong Thanh Luxury Saigon Hotel,1756.8,8.2,427.0,"Phu Nhuan, Ho Chi Minh City"
89,Cozrum Homes Ambera House,592.476,8.3,72.0,"District 1, Ho Chi Minh City"
90,Rosa Hotel & Spa,427.5,7.3,297.0,"District 1, Ho Chi Minh City"
91,Northern Saigon Hotel,1174.927,8.1,324.0,"District 1, Ho Chi Minh City"
92,Ipeace Hotel,472.943,8.2,490.0,"District 1, Ho Chi Minh City"
93,Renaissance Riverside Hotel Saigon,3132.0,8.5,102.0,"District 1, Ho Chi Minh City"
94,Savanna Hotel,450.0,8.1,444.0,"District 1, Ho Chi Minh City"
95,Vika Homestay,477.0,8.7,213.0,"District 1, Ho Chi Minh City"
96,Cozrum Homes - Rivera Corner,551.042,8.8,100.0,"District 1, Ho Chi Minh City"
97,Dai Nam Sai Gon Hotel,589.5,8.4,93.0,"District 1, Ho Chi Minh City"
98,Spotlight Hotel,450.0,8.6,299.0,"District 1, Ho Chi Minh City"
99,Little Saigon Boutique Hotel,840.0,8.6,157.0,"District 1, Ho Chi Minh City"
100,Athena Hotel,1280.0,7.8,79.0,"District 10, Ho Chi Minh City"
101,MAI HOUSE Saigon,2333.941,9.2,405.0,"District 3, Ho Chi Minh City"
102,Asian Ruby Center Point Hotel,840.0,8.0,493.0,"District 1, Ho Chi Minh City"
103,Sunflowers Hotel,580.0,7.2,23.0,"Tan Binh, Ho Chi Minh City"
104,Phan Anh Hotel - Bui Vien Walking Street,500.0,8.5,230.0,"District 1, Ho Chi Minh City"
105,Alagon City Hotel & Spa,826.403,8.3,486.0,"District 1, Ho Chi Minh City"
106,Ruby Star RedDoorz Hotel,458.378,8.2,21.0,"District 3, Ho Chi Minh City"
107,M Hotel Saigon,1862.088,8.8,499.0,"District 1, Ho Chi Minh City"
108,Saigon Prince Hotel,1361.659,8.0,491.0,"District 1, Ho Chi Minh City"
109,RedDoorz Yen Nam - Hoang Van Thu Street,462.792,8.9,21.0,"Phu Nhuan, Ho Chi Minh City"
110,My Villa Hotel - Airport,614.965,8.1,353.0,"Tan Binh, Ho Chi Minh City"
