name,price,Odometer,Ground Clearance,,Electric Start,Type Approval,Fuel System,Throttle,Compression Ratio,Bed Capacity,Gears,"Seat Height, Laden",Protection Plan,Swingarm,"Weight, Maximum Capacity","Lean Angle, Right (deg.)",Turning Radius,Gear Ratios (overall) 6th,"Tires, Rear Specification",Induction,"Wheel Type, Optional Style",Vehicle Type,VIN,Gear Ratios (overall) 3rd,Shock Absorber,Rear braking system,Gear Ratios (overall) 2nd,Emissions,Front Suspension,Weight,Electrical,Dry Weight,Castor,"Reduction Ratio, Primary",Starter,Brake System Type,Seat Type,Trail,Oil Capacity (w/filter),Gearbox,Length,Height,Chassis,Overall Width,Gauges,"Rack capacity, front",Valve train,"Brake Disc Diameter, Rear",Year,Bed Box Dimensions (LxWxH),Drive/Driven Clutch,Carburetion,Acceleration,Rake/trail,Description,Motor Type,Front Wheel,"Gross Axle Weight Rating, Rear",Security Option,"Weight, In Running Order",Instrumentation,Fuel Injection,Rear Tires / Model,Fuel Economy: Combined City/Hwy,Drivetrain,Oil Filter,"Fuel Usage, 100% Load",Rear Wheel,Cylinders-Displacement (cc),Fuel Type,Spark Plug,Gear Ratios (overall) 5th,Engine Type,Warranty,"Maximum Torque, PTO",Oil capacity,Gear Ratios (overall) 4th,"Gross Axle Weight Rating, Front","Rack capacity, rear","Wheel Type, Front",Tail Light,Maximum Thrust,Stroke,Engine Torque,Engine Management,"Weight, As Shipped","Axle Capacity, Rear",Alternator,Stock Number,Fuel Capacity,Parking Brake,Cylinder Liners,Front Travel (in./cm.),Primary Drive,Fork,Rake (steering head) (deg),Transmission,"Range, City",Wheel Option,Steering,Turn Signal,California Emissions,Lighting,Air Cleaner,Final Drive,"Engine Torque, Maximum","Features, Optional",Raking Angle Degrees,Fuel Reserve,Motor Torque,Vivid Black,"Brake Disc Diameter, Front",Colors,Make,Front Wheel Travel,Rear Tire,Freight,Displacement,Curb Weight,Condition,Overall Height,Overall Vehicle Size (LxWxH),Note,Engine Power,Width,Family,"Reduction Ratio, Secondary",Model,Motor Power,Overall Width (in./cm.),Front Tire,"Steering Angle, Right",Overall Height (in./cm.),Gear Ratios (overall) 1st,Ignition,Engine,Transmission Fluid Volume,Lubrication,"Lean Angle, Left (deg.)",Duration,Rotor Diameter,Front Fork,Motor Controller,"Tires, Front Specification",Overall Length,Category,Rear Suspension,Chain Type,Unloaded Weight,Rear Shocks,Dimensions,Exhaust,Engine Torque (rpm),Engine Torque Testing Method,Operating Conditions,Oil Type,Front braking system,Luggage Capacity -Volume,Gear Shifter,Wheels,Maximum Power At Shaft,Cooling,Top Speed,Features,Two-Tone Option,Cooling System,Model Id,Wheelbase,Headlight Type,Payload Capacity,Rear Travel (in./cm.),Color,GVWR,Suspension,Luggage Capacity -Weight,Battery,"Tire Pressure, Rear",Clutch,"Rack capacity, total",Overall Length (in./cm.),"Steering Angle, Left","Tire Pressure, Front",Charging System,Bore,"Seat Height, Unladen",Cargo Capacity,Custom Color Option,Seat Height,Frame Type,Seating Capacity,Rear Wheel Travel,Front Tires / Model,Color Option,"Wheels Type, Rear","Brakes, Caliper Type",ABS Option,Drive System,Power System Type,Transmission/Final Drive,Engine Mount,Towing Capacity,Cruise Control Option,Color/Graphics
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019 Harley-Davidson® FLTRU - Road Glide® Ultra,"$28,999 ",34981,5.1 in. (130 mm),,,,Electronic Sequential Port Fuel Injection (ESPFI),,10.5:1,,,27.2 in. (690 mm),,,,31.9,,2.875,BW 180/65B16 81H,,,Motorcycle / Scooter,1HD1KGF1XKB628404,4.938,,,6.65,,,,,,,,,,,6.7 in. (170 mm),,,"102.2 in. (2,595 mm)",,,,"Gauges styled to complement each vehicle. Display features odometer, trip A, trip B, range to empty and gear indicator; and larger tell-tale indicators.",,,,2019,,,,,,,,,,Standard,937 lb. (425 kg),,,,43 mpg (5.5 l/100 km),,,,,,,,3.407,,,,5 qt. (4.7 l),4,,,Impeller Cast Aluminum,,,4.5 in. (114 mm),122 ft-lb (166 Nm),,899 lb. (408 kg),,,U628404FR,6 gal. (22.7 l),,,,"Chain, 34/46 ratio",,26,,,,,,$200 ,"High beam, neutral, running lights, turn signals, low oil pressure, engine diagnostics, cruise control, speakers, accessory, security system, 6-speed, low fuel warning, ABS.",,,,,,,,,,,Harley-Davidson®,,,$435 ,"114 cu in (1,868 cc)",,Pre-owned,,,,,,Touring,,FLTRU - Road Glide® Ultra,,,,,,9.593,,Twin-Cooled™ Milwaukee-Eight® 114,,,31.8,,,,,BW 130/80B17 65H,,Touring,,,,,,Chrome dual exhaust with 4 in. touring mufflers and touring muffler shields,"3,000",J1349,,,,4.7 cu ft (0.132 m3),,,,,,,"$28,789 ",,,"64 in. (1,625 mm)",,,,,,,,,,,,,,,,4.016 in. (102 mm),28.9 in. (735 mm),,,,,,,,"$28,289 ",Impeller Cast Aluminum,"32 mm, 4-piston fixed front and rear",Standard,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019 Harley-Davidson® FLTRXS - Road Glide® Special,"$26,995 ",28522,5.5 in. (140 mm),,,,Electronic Sequential Port Fuel Injection (ESPFI),,10.5:1,,,25.9 in. (658 mm),,,,32,,2.875,180/55B18 80H,,,Motorcycle / Scooter,1HD1KTP13KB675331,4.938,,,6.65,,,,,,,,,,,6.8 in. (173 mm),,,"95.7 in. (2,430 mm)",,,,"Gauges styled to complement each vehicle. Display features odometer, trip A, trip B, range to empty and gear indicator; and larger tell-tale indicators.",,,,2019,,,,,,,,,,Standard,855 lb. (388 kg),,,,43 mpg (5.5 l/100 km),,,,,,,,3.407,,,,5.2 qt. (4.9 l),4,,,"Black, Talon Cast Aluminum",,,4.5 in. (114 mm),122 ft-lb,,820 lb. (372 kg),,,U675331CL,6 gal. (22.7 l),,,,"Chain, 34/46 ratio",,26,,,,,,$200 ,"High beam, running lights, directional lights, low oil pressure, neutral, engine diagnostics, battery, cruise control, speakers, accessory, security system, gear indication, low fuel warning, ABS, miles to empty display, fog/aux lamp indicator",,,,,,,,,,,Harley-Davidson®,,,$435 ,"114 cu in (1,868 cc)",,Pre-owned,,,,,,Touring,,FLTRXS - Road Glide® Special,,,,,,9.593,,Milwaukee-Eight® 114,,,31,,,,,130/60B19 61H,,Touring,,,,,,"Black, 2-1-2 dual exhaust with tapered mufflers","3,000",J1349,,,,2.7 cu ft (0.071 m3),,,,,,,,,,"64 in. (1,625 mm)",,,,,,,,,,,,,,,,4.016 in. (102 mm),27.4 in. (695 mm),,,,,,,,"$27,989 ","Black, Talon Cast Aluminum","32 mm, 4-piston fixed front and rear",Standard,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019 Harley-Davidson® FXBB - Softail® Street Bob®,"$15,995 ",4880,4.9 in. (125 mm),,,,Electronic Sequential Port Fuel Injection (ESPFI),,10.0:1,,,25.8 in. (655 mm),,,,28.5,,2.79,"150/80B16,77H,BW",,,Motorcycle / Scooter,1HD1YJJ27KB050838,4.793,,,6.454,,,,,,,,,,,6.2 in. (157 mm),,,"91.3 in. (2,320 mm)",,,,"2.14 inch viewable area LCD display with speedometer, gear, odometer, fuel level, clock, trip, range and tachometer indication",,,,2019,,,,,,,,,,Standard,653 lb. (296 kg),,,,47 mpg (5 l/100 km),,,,,,,,3.307,,,,5 qt. (4.7 l),3.882,,,"Gloss Black, Steel Laced",,,4.374 in. (111.1 mm),110 ft-lb (149 Nm),,630 lb. (286 kg),,,U050838IL,3.5 gal. (13.2 l),,,,"Chain, 34/46 ratio",,30,,,,,,$200 ,"High beam, turn signals, neutral, low oil pressure, engine diagnostics, ABS (optional), security, low battery voltage, low fuel",,,,,,,,,,,Harley-Davidson®,,,$390 ,"107 cu in (1,746 cc)",,Pre-owned,,,,,,Softail®,,FXBB - Softail® Street Bob®,,,,,,9.311,,Milwaukee-Eight® 107,,,28.5,,,,,"100/90B19,57H,BW",,Cruiser,,,,,,2-into-2 offset shotgun; catalyst in muffler,"3,000",J1349,,,,,,,,,,,"$15,299 ",,,"64.2 in. (1,630 mm)",,,,,,,,,,,,,,,,3.937 in. (100 mm),26.8 in. (680 mm),,,,,,,,"$14,949 ","Gloss Black, Steel Laced",4-piston fixed front and 2-piston floating rear,$795 ,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019 Harley-Davidson® FXBB - Softail® Street Bob®,"$15,450 ",2460,4.9 in. (125 mm),,,,Electronic Sequential Port Fuel Injection (ESPFI),,10.0:1,,,25.8 in. (655 mm),,,,28.5,,2.79,"150/80B16,77H,BW",,,Motorcycle / Scooter,1HD1YJJ26KB063631,4.793,,,6.454,,,,,,,,,,,6.2 in. (157 mm),,,"91.3 in. (2,320 mm)",,,,"2.14 inch viewable area LCD display with speedometer, gear, odometer, fuel level, clock, trip, range and tachometer indication",,,,2019,,,,,,,,,,Standard,653 lb. (296 kg),,,,47 mpg (5 l/100 km),,,,,,,,3.307,,,,5 qt. (4.7 l),3.882,,,"Gloss Black, Steel Laced",,,4.374 in. (111.1 mm),110 ft-lb (149 Nm),,630 lb. (286 kg),,,U063631WB,3.5 gal. (13.2 l),,,,"Chain, 34/46 ratio",,30,,,,,,$200 ,"High beam, turn signals, neutral, low oil pressure, engine diagnostics, ABS (optional), security, low battery voltage, low fuel",,,,,,,,,,,Harley-Davidson®,,,$390 ,"107 cu in (1,746 cc)",,Pre-owned,,,,,,Softail®,,FXBB - Softail® Street Bob®,,,,,,9.311,,Milwaukee-Eight® 107,,,28.5,,,,,"100/90B19,57H,BW",,Cruiser,,,,,,2-into-2 offset shotgun; catalyst in muffler,"3,000",J1349,,,,,,,,,,,"$15,299 ",,,"64.2 in. (1,630 mm)",,,,,,,,,,,,,,,,3.937 in. (100 mm),26.8 in. (680 mm),,,,,,,,"$14,949 ","Gloss Black, Steel Laced",4-piston fixed front and 2-piston floating rear,$795 ,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019 Harley-Davidson® FXBB - Softail® Street Bob®,"$14,995 ",5030,4.9 in. (125 mm),,,,Electronic Sequential Port Fuel Injection (ESPFI),,10.0:1,,,25.8 in. (655 mm),,,,28.5,,2.79,"150/80B16,77H,BW",,,Motorcycle / Scooter,1HD1YJJ27KB054145,4.793,,,6.454,,,,,,,,,,,6.2 in. (157 mm),,,"91.3 in. (2,320 mm)",,,,"2.14 inch viewable area LCD display with speedometer, gear, odometer, fuel level, clock, trip, range and tachometer indication",,,,2019,,,,,,,,,,Standard,653 lb. (296 kg),,,,47 mpg (5 l/100 km),,,,,,,,3.307,,,,5 qt. (4.7 l),3.882,,,"Gloss Black, Steel Laced",,,4.374 in. (111.1 mm),110 ft-lb (149 Nm),,630 lb. (286 kg),,,U054145-MKE,3.5 gal. (13.2 l),,,,"Chain, 34/46 ratio",,30,,,,,,$200 ,"High beam, turn signals, neutral, low oil pressure, engine diagnostics, ABS (optional), security, low battery voltage, low fuel",,,,,,,,,,,Harley-Davidson®,,,$390 ,"107 cu in (1,746 cc)",,Pre-owned,,,,,,Softail®,,FXBB - Softail® Street Bob®,,,,,,9.311,,Milwaukee-Eight® 107,,,28.5,,,,,"100/90B19,57H,BW",,Cruiser,,,,,,2-into-2 offset shotgun; catalyst in muffler,"3,000",J1349,,,,,,,,,,,"$15,299 ",,,"64.2 in. (1,630 mm)",,,,,,,,,,,,,,,,3.937 in. (100 mm),26.8 in. (680 mm),,,,,,,,"$14,949 ","Gloss Black, Steel Laced",4-piston fixed front and 2-piston floating rear,$795 ,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019 Harley-Davidson® FXBR - Softail® Breakout®,"$19,999 ",10540,4.5 in. (115 mm),,,,Electronic Sequential Port Fuel Injection (ESPFI),,10.0:1,,,25.6 in. (650 mm),,,,26.8,,2.79,"240/40R18,79V,BW",,,Motorcycle / Scooter,1HD1YEJ12KC010580,4.793,,,6.454,,,,,,,,,,,5.7 in. (145 mm),,,"93.3 in. (2,370 mm)",,,,"2.14-inch viewable area LCD display with speedometer, gear, odometer, fuel level, clock, trip, range and tachometer indication",,,,2019,,,,,,,,,,Standard,672 lb. (305 kg),,,,47 mpg (5 l/100 km),,,,,,,,3.307,,,,5 qt. (4.7 l),3.882,,,"Gloss black, Gasser II cast aluminum",,,4.374 in. (111.1 mm),109 ft-lb (148 Nm),,648 lb. (294 kg),,,U010580CL,3.5 gal. (13.2 l),,,,"Chain, 34/46 ratio",,34,,,,,,$200 ,"High beam, turn signals, neutral, low oil pressure, engine diagnostics, ABS, security, low battery voltage, low fuel",,,,,,,,,,,Harley-Davidson®,,,$390 ,"107 cu in (1,746 cc)",,Pre-owned,,,,,,Softail®,,FXBR - Softail® Breakout®,,,,,,9.311,,Milwaukee-Eight® 107,,,26.8,,,,,"130/60B21,63H,BW",,Cruiser,,,,,,2-into-2 staggered; catalyst in muffler,"3,000",J1349,,,,,,,,,,,,,,"66.7 in. (1,695 mm)",,,,,,,,,,,,,,,,3.937 in. (100 mm),26.2 in. (665 mm),,,,,,,,"$19,449 ","Gloss black, Gasser II cast aluminum",4-piston fixed front and 2-piston floating rear,Standard,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019 Harley-Davidson® FXBR - Softail® Breakout®,"$19,999 ",2300,4.5 in. (115 mm),,,,Electronic Sequential Port Fuel Injection (ESPFI),,10.0:1,,,25.6 in. (650 mm),,,,26.8,,2.79,"240/40R18,79V,BW",,,Motorcycle / Scooter,1HD1YEJ28KB027091,4.793,,,6.454,,,,,,,,,,,5.7 in. (145 mm),,,"93.3 in. (2,370 mm)",,,,"2.14-inch viewable area LCD display with speedometer, gear, odometer, fuel level, clock, trip, range and tachometer indication",,,,2019,,,,,,,,,,Standard,672 lb. (305 kg),,,,47 mpg (5 l/100 km),,,,,,,,3.307,,,,5 qt. (4.7 l),3.882,,,"Gloss black, Gasser II cast aluminum",,,4.374 in. (111.1 mm),109 ft-lb (148 Nm),,648 lb. (294 kg),,,U027091FR,3.5 gal. (13.2 l),,,,"Chain, 34/46 ratio",,34,,,,,,$200 ,"High beam, turn signals, neutral, low oil pressure, engine diagnostics, ABS, security, low battery voltage, low fuel",,,,,,,,,,,Harley-Davidson®,,,$390 ,"107 cu in (1,746 cc)",,Pre-owned,,,,,,Softail®,,FXBR - Softail® Breakout®,,,,,,9.311,,Milwaukee-Eight® 107,,,26.8,,,,,"130/60B21,63H,BW",,Cruiser,,,,,,2-into-2 staggered; catalyst in muffler,"3,000",J1349,,,,,,,,,,,,,,"66.7 in. (1,695 mm)",,,,,,,,,,,,,,,,3.937 in. (100 mm),26.2 in. (665 mm),,,,,,,,"$19,449 ","Gloss black, Gasser II cast aluminum",4-piston fixed front and 2-piston floating rear,Standard,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019 Harley-Davidson® FXDRS - FXDR™ 114,"$18,999 ",10941,5.3 in. (134 mm),,,,Electronic Sequential Port Fuel Injection (ESPFI),,10.5:1,,,27.7 in. (704 mm),,,,32.6,,2.79,240/40R-18 79V,,,Motorcycle / Scooter,1HD1YVK10KC015999,4.793,,,6.454,,,,,,,,,,,4.7 in. (120 mm),,,"95.1 in. (2,416 mm)",,,,"2.14 inch viewable area LCD display with speedometer, gear, odometer, fuel level, clock, trip, range and tachometer indication",,,,2019,,,,,,,,,,Standard,668 lb. (303 kg),,,,46 mpg (5.1 l/100 km),,,,,,,,3.307,,,,5 qt. (4.7 l),3.882,,,"Gloss/satin black, split 5-spoke, Ace cast aluminum with laser etched graphics",,,4.5 in. (114 mm),119 ft-lb (162 Nm),,637 lb. (289 kg),,,U015999FR,4.4 gal. (16.7 l),,,,"Chain, 34/46 ratio",,34,,,,,,$200 ,"High beam, turn signals, neutral, low oil pressure, engine diagnostics, cruise, ABS, security, low battery voltage, low fuel",,,,,,,,,,,Harley-Davidson®,,,$390 ,"114 cu in (1,868 cc)",,Pre-owned,,,,,,Softail®,,FXDRS - FXDR™ 114,,,,,,9.311,,Milwaukee-Eight® 114,,,32.8,,,,,120/70ZR-19 60W,,Touring,,,,,,2-into-1; catalyst in header,"3,500",J1349,,,,,,,,,,,,,,"68.4 in. (1,738 mm)",,,,,,,,,,,,,,,,4.016 in. (102 mm),28.5 in. (723 mm),,,,,,,,"$21,749 ","Gloss/satin black, solid disc, Ace cast aluminum with laser etched graphics",4-piston fixed front and 2-piston floating rear,Standard,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019 Harley-Davidson® FXFB - Softail® Fat Bob®,Click for a Quote,542,4.7 in. (120 mm),,,,Electronic Sequential Port Fuel Injection (ESPFI),,10.0:1,,,27.7 in. (704 mm),,,,31,,2.79,"180/70B16,77H,BW",,,Motorcycle / Scooter,1HD1YKJ20KB028556,4.793,,,6.454,,,,,,,,,,,5.2 in. (132 mm),,,"92.1 in. (2,340 mm)",,,,"4-inch analog tachometer with digital speedometer, gear, odometer, fuel level, clock, trip and range indication",,,,2019,,,,,,,,,,Standard,673 lb. (305 kg),,,,47 mpg (5 l/100 km),,,,,,,,3.307,,,,5 qt. (4.7 l),3.882,,,"Denim black, Structure cast aluminum with laser etched graphics",,,4.374 in. (111 mm),107 ft-lb (145 Nm),,653 lb. (296 kg),,,U028556,3.6 gal. (13.6 l),,,,"Chain, 34/46 ratio",,28,,,,,,$200 ,"High beam, turn signals, neutral, low oil pressure, engine diagnostics, ABS (optional), security, low battery voltage, low fuel",,,,,,,,,,,Harley-Davidson®,,,$390 ,"107 cu in (1,746 cc)",,Pre-owned,,,,,,Softail®,,FXFB - Softail® Fat Bob®,,,,,,9.311,,Milwaukee-Eight® 107,,,32,,,,,"150/80-16,71H,BW",,Cruiser,,,,,,2-into-1-into-2 dual side; catalyst in header,"3,500",J1349,,,,,,,,,,,,,,"63.6 in. (1,615 mm)",,,,,,,,,,,,,,,,3.937 in. (100 mm),28 in. (710 mm),,,,,,,,"$17,449 ","Denim black, Structure cast aluminum with laser etched graphics",4-piston fixed front and 2-piston floating rear,$795 ,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019 Harley-Davidson® FXFBS - Softail® Fat Bob® 114,"$17,890 ",4597,4.7 in. (120 mm),,,,Electronic Sequential Port Fuel Injection (ESPFI),,10.5:1,,,27.7 in. (704 mm),,,,31,,2.79,"180/70B16,77H,BW",,,Motorcycle / Scooter,1HD1YLK14KC012222,4.793,,,6.454,,,,,,,,,,,5.2 in. (132 mm),,,"92.1 in. (2,340 mm)",,,,"4-inch analog tachometer with digital speedometer, gear, odometer, fuel level, clock, trip and range indication",,,,2019,,,,,,,,,,Standard,676 lb. (306 kg),,,,47 mpg (5 l/100 km),,,,,,,,3.307,,,,5 qt. (4.7 l),3.882,,,"Denim black, Structure cast aluminum with laser etched graphics",,,4.5 in. (114 mm),118 ft-lb (160 Nm),,653 lb. (296 kg),,,U012222WB,3.6 gal. (13.6 l),,,,"Chain, 34/46 ratio",,28,,,,,,$200 ,"High beam, turn signals, neutral, low oil pressure, engine diagnostics, ABS, security, low battery voltage, low fuel",,,,,,,,,,,Harley-Davidson®,,,$390 ,"114 cu in (1,868 cc)",,Pre-owned,,,,,,Softail®,,FXFBS - Softail® Fat Bob® 114,,,,,,9.311,,Milwaukee-Eight® 114,,,32,,,,,"150/80-16,71H,BW",,Cruiser,,,,,,2-into-1-into-2 dual side; catalyst in header,"3,500",J1349,,,,,,,,,,,,,,"63.6 in. (1,615 mm)",,,,,,,,,,,,,,,,4.016 in. (102 mm),28 in. (710 mm),,,,,,,,"$19,249 ","Denim black, Structure cast aluminum with laser etched graphics",4-piston fixed front and 2-piston floating rear,Standard,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019 Harley-Davidson® FXFBS - Softail® Fat Bob® 114,"$19,495 ",10816,4.7 in. (120 mm),,,,Electronic Sequential Port Fuel Injection (ESPFI),,10.5:1,,,27.7 in. (704 mm),,,,31,,2.79,"180/70B16,77H,BW",,,Motorcycle / Scooter,1HD1YLK20KB039836,4.793,,,6.454,,,,,,,,,,,5.2 in. (132 mm),,,"92.1 in. (2,340 mm)",,,,"4-inch analog tachometer with digital speedometer, gear, odometer, fuel level, clock, trip and range indication",,,,2019,,,,,,,,,,Standard,676 lb. (306 kg),,,,47 mpg (5 l/100 km),,,,,,,,3.307,,,,5 qt. (4.7 l),3.882,,,"Denim black, Structure cast aluminum with laser etched graphics",,,4.5 in. (114 mm),118 ft-lb (160 Nm),,653 lb. (296 kg),,,U039836WS,3.6 gal. (13.6 l),,,,"Chain, 34/46 ratio",,28,,,,,,$200 ,"High beam, turn signals, neutral, low oil pressure, engine diagnostics, ABS, security, low battery voltage, low fuel",,,,,,,,,,,Harley-Davidson®,,,$390 ,"114 cu in (1,868 cc)",,Pre-owned,,,,,,Softail®,,FXFBS - Softail® Fat Bob® 114,,,,,,9.311,,Milwaukee-Eight® 114,,,32,,,,,"150/80-16,71H,BW",,Cruiser,,,,,,2-into-1-into-2 dual side; catalyst in header,"3,500",J1349,,,,,,,,,,,,,,"63.6 in. (1,615 mm)",,,,,,,,,,,,,,,,4.016 in. (102 mm),28 in. (710 mm),,,,,,,,"$19,249 ","Denim black, Structure cast aluminum with laser etched graphics",4-piston fixed front and 2-piston floating rear,Standard,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019 Harley-Davidson® FXFBS - Softail® Fat Bob® 114,"$19,749 ",,4.7 in. (120 mm),,,,Electronic Sequential Port Fuel Injection (ESPFI),,10.5:1,,,27.7 in. (704 mm),,,,31,,2.79,"180/70B16,77H,BW",,,,,4.793,,,6.454,,,,,,,,,,,5.2 in. (132 mm),,,"92.1 in. (2,340 mm)",,,,"4-inch analog tachometer with digital speedometer, gear, odometer, fuel level, clock, trip and range indication",,,,,,,,,,,,,,Standard,676 lb. (306 kg),,,,47 mpg (5 l/100 km),,,,,,,,3.307,,,,5 qt. (4.7 l),3.882,,,"Denim black, Structure cast aluminum with laser etched graphics",,,4.5 in. (114 mm),118 ft-lb (160 Nm),,653 lb. (296 kg),,,,3.6 gal. (13.6 l),,,,"Chain, 34/46 ratio",,28,,,,,,$200 ,"High beam, turn signals, neutral, low oil pressure, engine diagnostics, ABS, security, low battery voltage, low fuel",,,,,,,,,,,,,,$390 ,"114 cu in (1,868 cc)",,,,,,,,,,,,,,,,9.311,,Milwaukee-Eight® 114,,,32,,,,,"150/80-16,71H,BW",,,,,,,,2-into-1-into-2 dual side; catalyst in header,"3,500",J1349,,,,,,,,,,,,,,"63.6 in. (1,615 mm)",,,,,,,,,,,,,,,,4.016 in. (102 mm),28 in. (710 mm),,,,,,,,"$19,249 ","Denim black, Structure cast aluminum with laser etched graphics",4-piston fixed front and 2-piston floating rear,Standard,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
