name,price,Odometer,Ground Clearance,,Electric Start,Type Approval,Fuel System,Throttle,Compression Ratio,Bed Capacity,Gears,"Seat Height, Laden",Protection Plan,Swingarm,"Weight, Maximum Capacity","Lean Angle, Right (deg.)",Turning Radius,Gear Ratios (overall) 6th,"Tires, Rear Specification",Induction,"Wheel Type, Optional Style",Vehicle Type,VIN,Gear Ratios (overall) 3rd,Shock Absorber,Rear braking system,Gear Ratios (overall) 2nd,Emissions,Front Suspension,Weight,Electrical,Dry Weight,Castor,"Reduction Ratio, Primary",Starter,Brake System Type,Seat Type,Trail,Oil Capacity (w/filter),Gearbox,Length,Height,Chassis,Overall Width,Gauges,"Rack capacity, front",Valve train,"Brake Disc Diameter, Rear",Year,Bed Box Dimensions (LxWxH),Drive/Driven Clutch,Carburetion,Acceleration,Rake/trail,Description,Motor Type,Front Wheel,"Gross Axle Weight Rating, Rear",Security Option,"Weight, In Running Order",Instrumentation,Fuel Injection,Rear Tires / Model,Fuel Economy: Combined City/Hwy,Drivetrain,Oil Filter,"Fuel Usage, 100% Load",Rear Wheel,Cylinders-Displacement (cc),Fuel Type,Spark Plug,Gear Ratios (overall) 5th,Engine Type,Warranty,"Maximum Torque, PTO",Oil capacity,Gear Ratios (overall) 4th,"Gross Axle Weight Rating, Front","Rack capacity, rear","Wheel Type, Front",Tail Light,Maximum Thrust,Stroke,Engine Torque,Engine Management,"Weight, As Shipped","Axle Capacity, Rear",Alternator,Stock Number,Fuel Capacity,Parking Brake,Cylinder Liners,Front Travel (in./cm.),Primary Drive,Fork,Rake (steering head) (deg),Transmission,"Range, City",Wheel Option,Steering,Turn Signal,California Emissions,Lighting,Air Cleaner,Final Drive,"Engine Torque, Maximum","Features, Optional",Raking Angle Degrees,Fuel Reserve,Motor Torque,Vivid Black,"Brake Disc Diameter, Front",Colors,Make,Front Wheel Travel,Rear Tire,Freight,Displacement,Curb Weight,Condition,Overall Height,Overall Vehicle Size (LxWxH),Note,Engine Power,Width,Family,"Reduction Ratio, Secondary",Model,Motor Power,Overall Width (in./cm.),Front Tire,"Steering Angle, Right",Overall Height (in./cm.),Gear Ratios (overall) 1st,Ignition,Engine,Transmission Fluid Volume,Lubrication,"Lean Angle, Left (deg.)",Duration,Rotor Diameter,Front Fork,Motor Controller,"Tires, Front Specification",Overall Length,Category,Rear Suspension,Chain Type,Unloaded Weight,Rear Shocks,Dimensions,Exhaust,Engine Torque (rpm),Engine Torque Testing Method,Operating Conditions,Oil Type,Front braking system,Luggage Capacity -Volume,Gear Shifter,Wheels,Maximum Power At Shaft,Cooling,Top Speed,Features,Two-Tone Option,Cooling System,Model Id,Wheelbase,Headlight Type,Payload Capacity,Rear Travel (in./cm.),Color,GVWR,Suspension,Luggage Capacity -Weight,Battery,"Tire Pressure, Rear",Clutch,"Rack capacity, total",Overall Length (in./cm.),"Steering Angle, Left","Tire Pressure, Front",Charging System,Bore,"Seat Height, Unladen",Cargo Capacity,Custom Color Option,Seat Height,Frame Type,Seating Capacity,Rear Wheel Travel,Front Tires / Model,Color Option,"Wheels Type, Rear","Brakes, Caliper Type",ABS Option,Drive System,Power System Type,Transmission/Final Drive,Engine Mount,Towing Capacity,Cruise Control Option,Color/Graphics
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022 Triumph Speed Triple 1200 RS Matte Silver Ice,"$18,500 ",10,,,,,Multipoint sequential electronic fuel injection with electronic throttle control,,13.2:1,,,,,"Aluminum, single-sided",,,,,,,,Motorcycle / Scooter,SMTP01ST2NTAG3067,,,"Single 220mm disc. Brembo twin piston caliper, OC-ABS. Rear master cylinder with separate reservoir.",,,"Ohlins 43 mm NIX30 upside down forks with adjustable preload, rebound and compression damping",,,437 lb (198kg),,,,,,,,6 speed,,Without Mirror: 42.9 in (1089 mm),,,,,,,2022,,,,,23.9 º/4.1 in (104.7 mm),,,"Cast Aluminum, 17 x 3.50 in",,,,"Full-color 5"" TFT instruments",,,"CO2 Figures: ""EPA Procedure CO2 emissions and fuel consumption data are measured according to regulation 40 CFR Part 86 Subpart F. Figures for fuel consumption are derived from specific test conditions and are for comparative purposes only. They may not reflect real driving results.""",,,,"Cast Aluminum, 17 x 6.00 in",,,,,"12 valve, DOHC, inline 3-cylinder",,,,,,,,,,60.8,,,,,,UAG3067TR,Tank: 4.1 US gal (15.5 litres),,,120 mm,,,,,,,,,,,,X-ring chain,"92 lbft @ 9,000 rpm",,,,,,,,Triumph,,Metzeler Racetec RR K3 190/55 ZR17,,1160 cc,,Pre-owned,,,,"180 PS / 177.5 bhp (132.4 kW) @ 10,750 rpm",Handlebars: 31.2 in (792 mm),,,Speed Triple 1200 RS Matte Silver Ice,,,Metzeler Racetec RR K3 120/70 ZR17,,,,,,,,,,,,,,,Standard,"Öhlins TTX36 twin tube monoshock with preload, rebound and compression damping",,,,,Stainless steel 3 into 1 header system with underslung primary silencer and side mounted secondary silencer,,,,,"Twin 320mm floating discs. Brembo Stylema monobloc calipers, OC-ABS, radial master cylinder with separate reservoir, span",,,,,,,,,Liquid-cooled,,56.9 in (1445 mm),,,,,,,,,,"Wet, multi-plate, slip",,,,,,90,,,,32.7 in (830 mm),"Aluminum twin spar frame, bolt-on aluminium rear subframe",,120 mm,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022 Triumph SPEED TWIN 1200,"$11,999 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022 Triumph Street Scrambler Jet Black,"$11,500 ",418,,,,,Multipoint sequential electronic fuel injection,,11.0:1,,,,,Twin-sided steel fabrication,,,,,,,,Motorcycle / Scooter,SMTD44G79NTAG2860,,,"Single Ø255mm disc, Nissin 2-piston floating caliper, ABS",,,Ø 41mm forks with cartridge damping,,,223kg,,,,,,,,5 speed,,Without Mirror: 1180mm,,,,,,,2022,,,,,25.6 º/109,,,"Spoked steel rims, 19’’ x 2.5’’",,,,Analogue speedometer with LCD multi-functional display,,,"4.3 litres / 100 km | CO2 Figures: 99 g/km ""EURO 5 CO2 emissions and fuel consumption data are measured according to regulation 168/2013/EC. Figures for fuel consumption are derived from specific test conditions and are for comparative purposes only. They may not reflect real driving results.""",,,,"Spoked steel rims, 17’’ x 4.25’’",,,,,"8 valve, SOHC, 270° crank angle parallel twin",,,,,,,,,,80,,,,,,UAG2860TR,Tank: 12,,,120mm,,,,,,,,,,,,O ring chain,80 Nm @ 3250 rpm,,,,,,,,Triumph,,150/70 R17 Metzeler Tourance,,900 cc,,Pre-owned,,,,65 PS / 64.1 bhp (47.8 kW) @ 7250 rpm,Handlebars: 835mm,,,Street Scrambler Jet Black,,,100/90-19 Metzeler Tourance,,,,,,,,,,,,,,,Standard,Twin shocks with adjustable preload,,,,,Brushed stainless steel 2 into 2 exhaust system with twin high-level brushed stainless steel silencers,,,,,"Single Ø310mm floating disc, Brembo 4-piston fixed axial caliper, ABS",,,,,,,,,Liquid cooled,,1445mm,,,,,,,,,,"Wet, multi-plate torque assist clutch",,,,,,84.6,,,,790mm,"Tubular steel, with twin cradles",,120mm,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021 Can-Am® Spyder F3 T,"$25,995 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021 Harley-Davidson® FLH - Electra Glide® Revival™,"$29,995 ",600,4.5 in.,,,,Electronic Sequential Port Fuel Injection (ESPFI),,10.5:1,,,29.6 in.,,,,32,,2.875,180/65B16 81H,,,Motorcycle / Scooter,1HD1AAP13MB639228,4.938,,,6.65,,,,,,,,,,,6.8 in.,5.2 qt.,,94.5 in.,,,,"Gauges styled to complement each vehicle. Display features odometer, trip A, trip B, range to empty and gear indicator; and larger tell-tale indicators.",,,,2021,,,,,,,,,,Standard,862 lb.,,,,43 mpg,,,,,,,,3.407,,,,,4,,,Chrome Steel Laced w/ Custom Whitewall Tires,,,4.5 in.,118 ft-lb,,824 lb.,,,U639228IL,6 gal.,,,,"Chain, 34/46 ratio",,26,,,,,,$200 ,"High beam, running lights, directional lights, low oil pressure, neutral, engine diagnostics, battery, cruise control, accessory, security system, gear indication, low fuel warning, ABS, miles to empty display, fog/aux lamp indicator",,,,,,,,,,,Harley-Davidson®,,"Dunlop® Harley-Davidson Series, bias wide whitewall",$435 ,114 cu in,,Pre-owned,,,,97 HP / 72 kW @ 5020 rpm,,Grand American Touring,,FLH - Electra Glide® Revival™,,,"Dunlop® Harley-Davidson Series, bias wide whitewall",,,9.593,,Milwaukee-Eight® 114,,,31,,,49mm Dual Bending Valve,,MT90B16 72H,,Touring,,,,Premium Low Hand-Adjustable Rear Suspension,,2-1-2 dual exhaust with tapered mufflers,3250,J1349,,,,2.3 cu ft,,,,,,,"$29,199 ",,,64 in.,,,,,,,,,,,,,,,,4.016 in.,,,,,,,,,,Chrome Steel Laced w/ Custom Whitewall Tires,"32 mm, 4-piston fixed front and rear",Standard,,,,,,Standard,
