Empty weight,Last timing belt change,General inspection,Offer number,Warranty,Body type,Paint,Gearbox,Cylinders,Fuel type,Gears,Type,Mileage,Full service history,Manufacturer colour,Seats,Last service,Production date,name,Comfort & Convenience,Model code,Emission class,Extras,Power,First registration,Engine size,Safety & Security,Colour,Previous owner,Country version,"Fuel consumption
2",Entertainment & Media,"CO₂-emissions
2",price
,,,174564,24 months,Naked Bike,,,,Gasoline,,Used,"3,500 km",,Grigio,,,,BMWR nineT,,,,Catalytic Converter,,2019-06-01,"1,170 cc",,Grey,1,,,,,"€ 12,500.-"
,,,184543,24 months,Touring Enduro,,,,Gasoline,,Used,"49,700 km",,Bianco,,,,BMWR 1200 GS,,,,Catalytic Converter,,2014-01-01,"1,170 cc",,White,3,,,,,"€ 12,600.-"
,,,184550,12 months,Touring Enduro,,,,Gasoline,,Used,"7,500 km",,Rosso,,,,DucatiHypermotard 950,,,,Catalytic Converter,,2020-01-01,937 cc,,Red,1,,,,,"€ 8,900.-"
,,,17307897,12 months,Touring Enduro,,Manual,,Gasoline,6,Used,"42,570 km",,Nero,,,,TriumphTiger 800,,,Euro 3,,70 kW (95 hp),2011-09-01,800 cc,,Black,5,,,,,"€ 6,990.-"
,,,17307896,12 months,Enduro Bike,,Manual,,Gasoline,5,Used,"66,400 km",,Rosso,,,,BMWF 650,,,,,35 kW (48 hp),1996-01-01,652 cc,,Red,1,,,,,"€ 1,550.-"
,,,17307895,12 months,Super Moto,,Manual,,Gasoline,6,Used,"51,903 km",,Rosa,,,,BMWR 1200 GS Adventure,,,Euro 4,,92 kW (125 hp),2017-11-01,"1,170 cc",,,3,,,,,"€ 15,990.-"
,,,17307898,12 months,Touring Enduro,,Manual,,Gasoline,6,Used,"30,703 km",,Vari colori,,,,BMWR 1200 GS,,,Euro 4,,92 kW (125 hp),2017-03-01,"1,170 cc",,,2,,,,,"€ 17,500.-"
,,,17307319,,Naked Bike,,Manual,,Gasoline,,Used,"4,000 km",,Blu,,,,Suzuki,,,,,112 kW (152 hp),2021-07-01,999 cc,,Blue,,,,,,"€ 11,500.-"
,,,17307191,,Tourer,,Manual,,Gasoline,,Used,"70,000 km",,Bianco,,,,Moto GuzziNorge 850,,,,,53 kW (72 hp),2008-05-01,877 cc,,White,,,,,,"€ 3,900.-"
,,,17307304,,Others,,Manual,,Gasoline,,Used,"18,000 km",,Verde,,,,KawasakiNinja 400,,,,,33 kW (45 hp),2021-04-01,399 cc,,Green,,,,,,"€ 5,900.-"
,,,17307010,,Touring Enduro,,Manual,,Gasoline,,Used,"12,000 km",,Nero,,,,Honda,,,,,39 kW (53 hp),2007-07-01,650 cc,,Black,,,,,,"€ 3,900.-"
,,,17306944,,Scooter,,Automatic,,Gasoline,,Used,"20,000 km",,Bianco,,,,Kymco,,,,,17 kW (23 hp),2009-04-01,270 cc,,White,,,,,,"€ 2,400.-"
,,,17306869,,Scooter,,Automatic,,Gasoline,,Used,"41,000 km",,Blu,,,,Suzuki,,,,,24 kW (33 hp),2007-03-01,385 cc,,Blue,,,,,,"€ 2,300.-"
,,,17306155,,Super Moto,,Manual,,Gasoline,,Used,"19,000 km",,Nero,,,,SWMSM 125 R,,,,,8 kW (11 hp),2017-06-01,124 cc,,Black,,,,,,"€ 3,300.-"
,,,17306439,,Touring Enduro,,Manual,,Gasoline,,Used,"54,000 km",,Blu,,,,BMWR 1250 GS Adventure,,,,,81 kW (110 hp),2010-09-01,"1,170 cc",,Blue,,,,,,"€ 10,800.-"
,,,17306336,,Supersport,,Manual,,Gasoline,,Used,"29,000 km",,Bianco,,,,ApriliaRSV4,,,,,132 kW (179 hp),2011-11-01,999 cc,,White,,,,,,"€ 9,900.-"
,,,17306295,,Tourer,Metallic,Manual,,Gasoline,,Used,"33,000 km",,Argento,,,,Moto GuzziNorge 850,,,,,53 kW (72 hp),2009-05-01,877 cc,,Silver,,,,,,"€ 3,900.-"
,,,17306054,,Touring Enduro,,Manual,,Gasoline,,Used,"41,000 km",,Rosso,,,,Moto GuzziStelvio 1200,,,,,77 kW (105 hp),2008-04-01,"1,150 cc",,Red,,,,,,"€ 5,800.-"
,,,17306101,,Touring Enduro,,Manual,,Gasoline,,Used,"47,000 km",,Grigio,,,,BMWS 1000 XR,,,,,121 kW (165 hp),2017-01-01,999 cc,,Grey,,,,,,"€ 11,500.-"
,,Mar-23,17306349,,Supersport,Metallic,Automatic,2,Gasoline,,Used,"49,000 km",,Nero,,,,Yamaha,,,,,32 kW (44 hp),2010-04-01,499 cc,,Black,,,,,,"€ 5,499.-"
,,,17306206,,Scooter,,Automatic,,Gasoline,,Used,"33,000 km",,Grigio,,,,YamahaMajesty 400,,,,,25 kW (34 hp),2006-04-01,395 cc,,Grey,,,,,,"€ 2,300.-"
,,,17307638,,Naked Bike,,Manual,,Gasoline,,Used,"20,000 km",,Nero,,,,HondaCBF 500,,,,,42 kW (57 hp),2005-02-01,499 cc,,Black,,,,,,"€ 2,500.-"
,,,17307628,,Naked Bike,,Manual,,Gasoline,,Used,"40,000 km",,Argento,,,,HondaCBF 500,,,,,42 kW (57 hp),2006-02-01,499 cc,,Silver,,,,,,"€ 2,300.-"
,,,17307613,,Touring Enduro,,Manual,,Gasoline,,Used,"43,000 km",,Giallo,,,,Honda,,,,,40 kW (54 hp),2000-04-01,647 cc,,Yellow,,,,,,"€ 2,900.-"
,,,17307696,,Chopper/Cruiser,,Manual,,Gasoline,,Used,"29,000 km",,Grigio,,,,Honda,,,,,32 kW (44 hp),2010-04-01,745 cc,,Grey,,,,,,"€ 4,900.-"
,,,17307724,,Supersport,,Manual,,Gasoline,,Used,"72,000 km",Yes,Bianco,,,,BMWR 1200 GS Adventure,,,,,77 kW (105 hp),2008-04-01,"1,170 cc",ABS,White,,,,,,"€ 7,600.-"
,,May-20,17307920,,Super Moto,,Manual,2,Gasoline,6,Used,"7,500 km",,Rosso,,,,Ducati,,,,,84 kW (114 hp),2020-05-01,937 cc,,Red,,,,,,"€ 10,900.-"
,,,17307919,24 months,Supersport,,Manual,2,Gasoline,6,Used,"49,700 km",Yes,Bianco,,,,BMWR 1200 GS,,,Euro 3,,92 kW (125 hp),2014-03-01,"1,170 cc",ABS,White,3,,,,,"€ 12,600.-"
,,Jun-23,17307918,24 months,Touring Enduro,,Manual,2,Gasoline,6,Used,"3,500 km",Yes,Grigio,,,,BMW,,,Euro 3,,81 kW (110 hp),2019-06-01,"1,170 cc",ABS,Grey,1,,,,,"€ 12,500.-"
,,,,,Others,,,,Gasoline,,Used,"2,000 km",,,,,,HondaCRF 450,,,,,35 kW (48 hp),2005-09-01,,,Black,,,,,,"€ 4,900.-"
,,,2103594,,Naked Bike,,,,Gasoline,,Used,"8,690 km",,Argent,,,,TriumphStreet Twin,,,,,,2018-07-01,900 cc,,Silver,,,,,,"€ 7,990.-"
,,,2103583,,Naked Bike,,,,Gasoline,,Used,"9,579 km",,Noir,,,,TriumphRocket 3 GT,,,,,,2021-04-01,"2,458 cc",,Black,,,,,,"€ 22,990.-"
,,,2103620,,Naked Bike,,,,Gasoline,,Used,"31,610 km",,Blanc,,,,KawasakiZ 1000,,,,,,2010-01-01,"1,000 cc",,White,,,,,,"€ 7,499.-"
,,,2103612,,Naked Bike,,,,Gasoline,,Used,"17,240 km",,Bordeaux,,,,HondaCB 500,,,,,,2018-07-01,500 cc,,Red,,,,,,"€ 5,299.-"
,,,17078774,,Supersport,,Manual,,Gasoline,,Used,"65,000 km",,Rosso,,,,SuzukiGS 750,,,,,92 kW (125 hp),1977-03-01,"1,600 cc",,Red,,,,,,"€ 4,250.-"
,,,2103684,,Naked Bike,,,,Gasoline,,Used,"37,370 km",,Bleu,,,,Kawasaki,,,,,,2012-05-01,650 cc,,Blue,,,,,,"€ 4,990.-"
,,,2103661,,Chopper/Cruiser,,,,Gasoline,,Used,"11,518 km",,Noir,,,,HondaCMX 500,,,,,,2019-04-01,500 cc,,Black,,,,,,"€ 5,890.-"
,,,2103649,,Naked Bike,,,,Gasoline,,Used,"7,200 km",,Noir,,,,YamahaMT-125,,,,,,2019-08-01,125 cc,,Black,,,,,,"€ 4,400.-"
,,Jul-23,S37103,,Super Moto,,,,Others,,Used,"32,556 km",,SCHWARZ,,,,YamahaXT 660,Electric Starter,,,Catalytic Converter,35 kW (48 hp),2011-05-01,660 cc,,Black,,,,,,"€ 5,689.-"
,,Jun-24,S37137,,Enduro Bike,,Manual,,Gasoline,,Used,462 km,,MARTIAN RED,,,,ApriliaTuareg,"Electric Starter
Windshield",,,Catalytic Converter,35 kW (48 hp),2022-06-01,660 cc,ABS,,,,,,,"€ 11,290.-1"
,,Jun-24,S36873,,Enduro Bike,,Manual,,Gasoline,,Used,140 km,,ACID GOLD,,,,ApriliaTuareg,"Electric Starter
Windshield",,,Catalytic Converter,59 kW (80 hp),2022-06-01,660 cc,ABS,,,,,,,"€ 11,490.-1"
,,,2103675,,Scooter,,,,Gasoline,,Used,"4,600 km",,Blanc,,,,SYM,,,,,,2014-01-01,400 cc,,White,,,,,,"€ 4,200.-"
,,,2103632,,Chopper/Cruiser,,,,Gasoline,,Used,"5,127 km",,Noir,,,,BMWR nineT,,,,,,2019-05-01,"1,200 cc",,Black,,,,,,"€ 11,490.-"
,,,2103736,,Scooter,,,,Gasoline,,Used,"7,387 km",,Gris,,,,HondaPCX 125,,,,,,2020-08-01,125 cc,,Grey,,,,,,"€ 2,690.-"
,,,155,,Others,,,,,,Used,"195,491 km",,,,,,Suzuki,,,,,,2005-02-01,,,,,,,,,"€ 1,850.-"
,,,485624,,Enduro Bike,Metallic,Manual,,Gasoline,,Used,"73,466 km",,Weissaluminium Metallic Matt,,,,BMWF 650 GS,,,,,52 kW (71 hp),2011-03-01,652 cc,,White,2,,,,,"€ 4,450.-"
,,,2103581,,Tourer,,,,Gasoline,,Used,"1,740 km",,Noir,,,,Mash,,,,,,2021-12-01,650 cc,,Black,,,,,,"€ 3,899.-"
,,,,,Others,,Manual,,Gasoline,,Used,"2,245 km",Yes,Black Smoke,,,,VictoryHigh-Ball,Electric Starter,,,Catalytic Converter,65 kW (88 hp),2018-03-01,"1,735 cc",ABS,Black,1,,,,,"€ 15,895.-"
,,New,,,Naked Bike,,Manual,,Gasoline,,Used,"14,120 km",Yes,,,,,KTM1290 Super Duke R,"Crash bar
Electric Starter",,,Catalytic Converter,127 kW (173 hp),2016-06-01,"1,301 cc",ABS,Orange,1,,,,,"€ 9,800.-"
,,Sep-22,,,Enduro Bike,,Manual,,Gasoline,,Used,"7,200 km",Yes,,,,,TriumphTiger 1200,"Crash bar
Electric Starter
Topcase
Windshield",,,Catalytic Converter,104 kW (141 hp),2020-09-01,"1,215 cc",ABS,White,1,,,,,"€ 17,490.-"
,,May-24,,,Chopper/Cruiser,,Manual,,Gasoline,,Used,"22,000 km",,,,,,Harley-DavidsonElectra Glide,"Crash bar
Electric Starter
Topcase
Windshield",,,Catalytic Converter,67 kW (91 hp),2017-03-01,"1,868 cc",ABS,Black,2,,,,,"€ 27,990.-"
,,,2103673,,Naked Bike,,,,Gasoline,,Used,350 km,,Argent,,,,KawasakiZ 650,,,,,,2021-11-01,650 cc,,Silver,,,,,,"€ 7,690.-"
,,,2103580,,Quad,,,,Gasoline,,Used,"3,330 km",,Blanc,,,,SuzukiLT-Z 400,,,,,,2014-12-01,400 cc,,White,,,,,,"€ 5,500.-"
,,,,,Scooter,,Automatic,,Gasoline,,New,0 km,,,,,,Vespa,,,,,3 kW (4 hp),,50 cc,,Red,,,,,,"€ 3,390.-1"
,,,2103582,,Tourer,,,,Gasoline,,Used,"49,018 km",,Gris,,,,YamahaFZ 6,,,,,,2004-04-01,600 cc,,Grey,,,,,,"€ 3,200.-"
,,,2103681,,Tourer,,,,Gasoline,,Used,"13,758 km",,Blanc,,,,KawasakiZ 900,,,,,,2020-03-01,900 cc,,White,,,,,,"€ 8,000.-"
,,,2103657,,Tourer,,,,Gasoline,,Used,"3,101 km",,Vert,,,,KawasakiZ 900,,,,,,2022-04-01,900 cc,,Green,,,,,,"€ 10,999.-"
,,May-23,13750,,Enduro Bike,,Manual,,Gasoline,,Used,"28,500 km",Yes,Rot,,,,Moto GuzziV 85,"Electric Starter
Topcase
Windshield",,,Catalytic Converter,59 kW (80 hp),2019-05-01,850 cc,ABS,Red,,,,,,"€ 8,990.-"
,,,2103718,,Chopper/Cruiser,,,,Gasoline,,Used,505 km,,Noir,,,,IndianScout,,,,,,2022-05-01,"1,131 cc",,Black,,,,,,"€ 14,999.-"
,,,2103595,,Naked Bike,,,,Gasoline,,Used,"2,247 km",,Noir,,,,YamahaMT-125,,,,,,2021-11-01,125 cc,,Black,,,,,,"€ 5,390.-"
,,Aug-22,,,Naked Bike,Metallic,Manual,,Gasoline,,Used,"8,400 km",Yes,Rot/schwarz,,,,HondaCB 650,Electric Starter,,,Catalytic Converter,35 kW (48 hp),2018-03-01,649 cc,ABS,,2,,,,,"€ 6,700.-"
,,Aug-22,,,Naked Bike,Metallic,Manual,,Gasoline,,Used,"8,400 km",Yes,Rot/schwarz,,,,HondaCB 650,Electric Starter,,,Catalytic Converter,66 kW (90 hp),2018-03-01,649 cc,ABS,,2,,,,,"€ 6,700.-"
,,Apr-24,,,Others,,Manual,,Gasoline,,Used,"60,239 km",,,,,,BMWR 65 LS,Electric Starter,,,,37 kW (50 hp),1983-03-01,645 cc,,Black,,,,,,"€ 5,950.-"
,,,2103696,,Naked Bike,,,,Gasoline,,Used,"17,810 km",,Rouge,,,,YamahaXSR 900,,,,,,2018-08-01,850 cc,,Red,,,,,,"€ 7,990.-"
,,,2103652,,Scooter,,,,Gasoline,,Used,"8,650 km",,Gris,,,,YamahaX-Max 125,,,,,,2020-06-01,125 cc,,Grey,,,,,,"€ 4,899.-"
,,,2103647,,Scooter,,,,Gasoline,,Used,"4,050 km",,Noir,,,,YamahaTMAX 560,,,,,,2020-09-01,560 cc,,Black,,,,,,"€ 12,599.-"
,,,2103591,,Tourer,,,,Gasoline,,Used,"8,606 km",,Noir,,,,KawasakiZ 900,,,,,,2018-04-01,900 cc,,Black,,,,,,"€ 7,799.-"
,,,2103577,,Tourer,,,,Gasoline,,Used,"1,880 km",,Noir,,,,KawasakiZ 900,,,,,,2020-06-01,900 cc,,Black,,,,,,"€ 9,299.-"
,,,,,Scooter,Metallic,Automatic,,Gasoline,,New,0 km,,,,,,VespaPrimavera 75th 125,Electric Starter,,,Catalytic Converter,8 kW (11 hp),,124 cc,ABS,Gold,,,,,,"€ 5,799.-1"
,,New,,,Scooter,,Automatic,,Gasoline,,Used,"2,450 km",Yes,Weiss Yacht Club,,,,VespaGTS 300,Electric Starter,,,,16 kW (22 hp),2018-07-01,278 cc,ABS,White,2,,,,,"€ 5,980.-"
,,,,,Scooter,Metallic,Automatic,,Gasoline,,New,0 km,,METALLIC-GELB,,,,VespaPrimavera 75th 50,"Electric Starter
Topcase",,,Catalytic Converter,2 kW (3 hp),,50 cc,,Gold,,,,,,"€ 4,380.-1"
,,,Neufahrzeug Liberty 50,,Scooter,Metallic,Automatic,,Gasoline,,New,0 km,,,,,,PiaggioLiberty 50,Electric Starter,,,Catalytic Converter,2 kW (3 hp),,50 cc,,Red,,,,,,"€ 2,649.-1"
,,,,,Scooter,,Automatic,,Gasoline,,New,0 km,,,,,,VespaSei Giorni,"Electric Starter
Kickstarter",,,,18 kW (24 hp),,278 cc,ABS,Grey,,,,,,"€ 6,919.-1"
,,,,,Scooter,Metallic,Automatic,,Gasoline,,New,0 km,,Braun Matt,,,,PiaggioMedley 125,Electric Starter,,,Catalytic Converter,11 kW (15 hp),,125 cc,ABS,Brown,,,,,,"€ 4,099.-1"
,,,,,Others,Metallic,Automatic,,Gasoline,,New,0 km,,SCHWARZ COSMO,,,,PiaggioMP3 300,Electric Starter,,,Catalytic Converter,19 kW (26 hp),,278 cc,ABS,Black,,,,,,"€ 7,299.-1"
,,,,,Scooter,Metallic,Automatic,,Gasoline,,New,0 km,,BLAU VIVACE,,,,VespaPrimavera S 50,Electric Starter,,,Catalytic Converter,2 kW (3 hp),,50 cc,,Blue,,,,,,"€ 3,899.-1"
,,,,,Scooter,Metallic,Automatic,,Gasoline,,New,0 km,,BLAU VIVACE MATT,,,,VespaGTS Super Sport 125,Electric Starter,,,Catalytic Converter,10 kW (14 hp),,125 cc,ABS,Blue,,,,,,"€ 6,099.-1"
,,,,,Scooter,Metallic,Automatic,,Gasoline,,New,0 km,,Grün Relax,,,,VespaPrimavera 50,Electric Starter,,,Catalytic Converter,2 kW (3 hp),,50 cc,,Green,,,,,,"€ 3,890.-1"
,,,,,Scooter,Metallic,,,Gasoline,,New,0 km,,,,,,VespaPrimavera Touring 125,Electric Starter,,,Catalytic Converter,8 kW (11 hp),,124 cc,ABS,Grey,,,,,,"€ 5,199.-1"
,,,,,Scooter,Metallic,Automatic,,Gasoline,,New,0 km,,,,,,VespaGTS 75th 125,Electric Starter,,,Catalytic Converter,10 kW (14 hp),,124 cc,ABS,Gold,,,,,,"€ 6,480.-1"
,,,,,Others,,Manual,,Gasoline,,New,0 km,,Aprilia Schwarz,,,,ApriliaRS 125,Electric Starter,,,Catalytic Converter,11 kW (15 hp),,124 cc,,Black,,,,,,"€ 5,290.-1"
,,,,,Scooter,,Automatic,,Gasoline,,New,0 km,,Schwarz Matt,,,,VespaPrimavera S 125,Electric Starter,,,Catalytic Converter,8 kW (11 hp),,124 cc,ABS,Black,,,,,,"€ 5,390.-1"
,,,,,Others,,Manual,,Gasoline,,New,0 km,,SCHWARZ APRILIA,,,,ApriliaTuono,Windshield,,,Catalytic Converter,11 kW (15 hp),,125 cc,ABS,Black,,,,,,"€ 4,990.-1"
,,,,,Scooter,Metallic,Automatic,,Gasoline,,New,0 km,,,,,,VespaPrimavera 125,Electric Starter,,,Catalytic Converter,8 kW (11 hp),,125 cc,ABS,Black,,,,,,"€ 4,919.-1"
,,,2103662,,Naked Bike,,,,Gasoline,,Used,"9,287 km",,Rouge,,,,DucatiStreetfighter,,,,,,2020-08-01,"1,103 cc",,Red,,,,,,"€ 21,500.-"
,,,2103656,,Enduro Bike,,,,Gasoline,,Used,"53,566 km",,Orange,,,,KTM1190 Adventure,,,,,,2014-06-01,"1,190 cc",,Orange,,,,,,"€ 7,490.-"
,,,2103602,,Naked Bike,,,,Gasoline,,Used,"34,743 km",,Noir,,,,SuzukiGSR 750,,,,,,2016-03-01,750 cc,,Black,,,,,,"€ 4,990.-"
,,,2103576,,Naked Bike,,,,Gasoline,,Used,"8,837 km",,Orange,,,,BMWR nineT,,,,,,2018-07-01,"1,200 cc",,Orange,,,,,,"€ 15,990.-"
,,,2103688,,Enduro Bike,,,,Gasoline,,Used,226 km,,Argent,,,,KTM,,,,,,2018-10-01,250 cc,,Silver,,,,,,"€ 6,799.-"
,,,2103712,,Naked Bike,,,,Gasoline,,Used,"39,516 km",,Blanc,,,,YamahaXJ 6,,,,,,2010-10-01,600 cc,,White,,,,,,"€ 3,899.-"
,,,2103677,,Naked Bike,,,,Gasoline,,Used,"4,706 km",,Bleu,,,,YamahaMT-03,,,,,,2020-05-01,320 cc,,Blue,,,,,,"€ 4,499.-"
,,,2103709,,Enduro Bike,,,,Gasoline,,Used,"32,500 km",,Argent,,,,Kawasaki,,,,,,2017-03-01,650 cc,,Silver,,,,,,"€ 6,390.-"
,,,2103704,,Naked Bike,,,,Gasoline,,Used,"40,485 km",,Argent,,,,YamahaXJ 6,,,,,,2001-01-01,600 cc,,Silver,,,,,,"€ 1,890.-"
,,,2103703,,Tourer,,,,Gasoline,,Used,"13,845 km",,Argent,,,,KawasakiW 800,,,,,,2020-10-01,800 cc,,Silver,,,,,,"€ 7,500.-"
,,Sep-24,,,Others,Metallic,Manual,,Gasoline,,Used,"1,100 km",Yes,,,,,SuzukiGSX-S 750,"Electric Starter
Windshield",,,Catalytic Converter,85 kW (116 hp),2020-09-01,750 cc,ABS,White,1,,,,,"€ 8,860.-"
,,,2103702,,Scooter,,,,Gasoline,,Used,"9,924 km",,Argent,,,,PiaggioBeverly 350,,,,,,2017-07-01,350 cc,,Silver,,,,,,"€ 4,200.-"
,,,2103699,,Scooter,,,,Gasoline,,Used,"17,404 km",,Argent,,,,KawasakiJ125,,,,,,2018-10-01,125 cc,,Silver,,,,,,"€ 3,190.-"
,,,2103697,,Super Moto,,,,Gasoline,,Used,"6,572 km",,Argent,,,,ApriliaDorsoduro,,,,,,2023-03-01,900 cc,,Silver,,,,,,"€ 8,500.-"
,,,2103694,,Naked Bike,,,,Gasoline,,Used,"6,418 km",,Noir,,,,KawasakiZ 400,,,,,,2019-03-01,400 cc,,Black,,,,,,"€ 5,250.-"
,,,2103692,,Enduro Bike,,,,Gasoline,,Used,"1,732 km",,Argent,,,,Moto GuzziV 85,,,,,,2021-08-01,850 cc,,Silver,,,,,,"€ 11,990.-"
,,,2103689,,Naked Bike,,,,Gasoline,,Used,"11,324 km",,Argent,,,,SuzukiGSX-S 1000,,,,,,2016-06-01,"1,000 cc",,Silver,,,,,,"€ 8,990.-"
,,,2103716,,Motocrosser,,,,Gasoline,,Used,135 km,,Rouge,,,,Honda,,,,,,2020-01-01,250 cc,,Red,,,,,,"€ 5,490.-"
,,,2103617,,Motocrosser,,,,Gasoline,,Used,36 km,,Bleu,,,,Yamaha,,,,,,2021-02-01,250 cc,,Blue,,,,,,"€ 6,590.-"
,,,2103664,,Tourer,,,,Gasoline,,Used,"21,394 km",,Argent,,,,YamahaXJ 6,,,,,,2014-03-01,600 cc,,Silver,,,,,,"€ 4,700.-"
,,,2103623,,Naked Bike,,,,Gasoline,,Used,"29,050 km",,Noir,,,,HondaHornet,,,,,,2010-05-01,600 cc,,Black,,,,,,"€ 3,999.-"
,,,2103608,,Enduro Bike,,,,Gasoline,,Used,"9,800 km",,Blanc,,,,KTM1190 Adventure,,,,,,2016-06-01,"1,190 cc",,White,,,,,,"€ 10,990.-"
,,,2103687,,Enduro Bike,,,,Gasoline,,Used,"3,200 km",,Rouge,,,,FanticCaballero 500,,,,,,2021-05-01,500 cc,,Red,,,,,,"€ 6,599.-"
,,Apr-23,vorlauf,,Scooter,,Automatic,,Gasoline,,Used,"18,903 km",,,,,,KymcoDowntown 125i,"Electric Starter
Topcase
Windshield",,,,11 kW (15 hp),2009-06-01,124 cc,,White,,,,,,"€ 2,490.-"
,,,2103660,,Tourer,,,,Gasoline,,Used,"13,303 km",,Argent,,,,SuzukiRV 125,,,,,,2012-08-01,125 cc,,Silver,,,,,,"€ 4,499.-"
,,,,,Chopper/Cruiser,,,,,,Used,"30,338 km",,Vivid Black / CVO Flames,,,,Harley-DavidsonSoftail,,,,,47 kW (64 hp),2005-01-01,"1,450 cc",,Black,,,,,,"€ 12,990.-1"
,,,2103690,,Chopper/Cruiser,,,,Gasoline,,Used,"29,800 km",,Noir,,,,Harley-DavidsonDyna Street Bob,,,,,,2011-05-01,"1,584 cc",,Black,,,,,,"€ 13,500.-"
,,New,,,Chopper/Cruiser,Metallic,Manual,,Gasoline,,Used,"22,000 km",Yes,,,,,KawasakiVN 1500,"Crash bar
Electric Starter
Topcase
Windshield",,,,48 kW (65 hp),2002-02-01,"1,500 cc",,Red,,,,,,"€ 7,995.-"
,,,2103588,,Enduro Bike,,,,Gasoline,,Used,"8,000 km",,Noir,,,,YamahaXTZ 1200,,,,,,2019-02-01,"1,200 cc",,Black,,,,,,"€ 12,990.-"
,,,2103655,,Naked Bike,,,,Gasoline,,Used,"35,431 km",,Rouge,,,,YamahaFZS 600,,,,,,2002-08-01,600 cc,,Red,,,,,,"€ 1,900.-"
,,,2103644,,Naked Bike,,,,Gasoline,,Used,"2,162 km",,Rouge,,,,DucatiStreetfighter,,,,,,2021-04-01,"1,100 cc",,Red,,,,,,"€ 21,500.-"
,,,2103606,,Naked Bike,,,,Gasoline,,Used,"2,878 km",,Gris,,,,Ducati,,,,,,2021-04-01,937 cc,,Grey,,,,,,"€ 11,100.-"
,,,2103626,,Supersport,,,,Gasoline,,Used,"1,980 km",,Bleu,,,,YamahaYZF-R125,,,,,,2014-05-01,125 cc,,Blue,,,,,,"€ 4,490.-"
,,,2103590,,Chopper/Cruiser,,,,Gasoline,,Used,"45,250 km",,Blanc,,,,YamahaXVS 1300,,,,,,1998-10-01,"1,300 cc",,White,,,,,,"€ 4,990.-"
,,,2103599,,Enduro Bike,,,,Gasoline,,Used,282 km,,Blanc,,,,KTM350 EXC,,,,,,2021-10-01,350 cc,,White,,,,,,"€ 9,200.-"
,,,2103584,,Motocrosser,,,,Gasoline,,Used,25 km,,Orange,,,,KTM350 SX,,,,,,2022-01-01,350 cc,,Orange,,,,,,"€ 7,900.-"
,,,Roller 125 Blau,,Scooter,,Automatic,,Gasoline,,New,6 km,,,,,,HondaForza 125,"Electric Starter
Topcase
Windshield",,,Catalytic Converter,11 kW (15 hp),,125 cc,ABS,Blue,,,,,,"€ 5,799.-1"
,,,,,Scooter,,Automatic,,,,New,1 km,,MAT GALAXY BLACK,,,,HondaPCX 125,Electric Starter,,,Catalytic Converter,9 kW (12 hp),,125 cc,ABS,Black,,,,,,"€ 3,699.-1"
,,New,SH MODE,,Scooter,Metallic,Automatic,,Gasoline,,Used,1 km,Yes,Candy Noble Red,,,,HondaSH Mode,Electric Starter,,,Catalytic Converter,84 kW (114 hp),2022-06-01,125 cc,,Red,,,,,,"€ 2,940.-1"
,,New,Vision 110,,Scooter,Metallic,Automatic,,Gasoline,,Used,1 km,Yes,Poseidon Black Metallic,,,,HondaVision 110,Electric Starter,,,Catalytic Converter,64 kW (87 hp),2022-06-01,109 cc,,Black,,,,,,"€ 2,740.-"
,,,M01492,,Tourer,,Manual,,Gasoline,,Used,"20,176 km",,,,,,YamahaFJR 1300,"Electric Starter
Topcase
Windshield",,,,108 kW (147 hp),2017-07-01,"1,300 cc",ABS,Silver,,,,,,"€ 13,490.-"
,,,M00342,,Tourer,,Manual,,Gasoline,,Used,"22,830 km",,,,,,YamahaXJ 6,Electric Starter,,,,57 kW (77 hp),2009-03-01,600 cc,ABS,Blue,,,,,,"€ 3,690.-"
,,,M00084,,Tourer,,Manual,,Gasoline,,Used,"6,303 km",,,,,,HondaNC 750,"Crash bar
Electric Starter",,,,40 kW (54 hp),2018-04-01,750 cc,ABS,Black,,,,,,"€ 7,290.-"
,,,M01417,,Tourer,,Manual,,Gasoline,,Used,"24,255 km",,,,,,YamahaFJR 1300,"Electric Starter
Topcase
Windshield",,,,108 kW (147 hp),2017-05-01,"1,300 cc",ABS,Silver,,,,,,"€ 13,890.-"
,,,M03345,,Supersport,,Manual,,Gasoline,,Used,"18,001 km",,,,,,Ducati959 Panigale,,,,,110 kW (150 hp),2015-05-01,959 cc,ABS,Red,,,,,,"€ 12,690.-"
,,,M00780,,Naked Bike,,Manual,,Gasoline,,Used,"13,285 km",,Blau / schwarz,,,,SuzukiGSX-S 1000,Electric Starter,,,,110 kW (150 hp),2017-04-01,"1,000 cc",ABS,,,,,,,"€ 9,390.-"
,,Jun-24,L65699,,Scooter,,Automatic,,Gasoline,,Used,"36,329 km",,GRAU,,,,PiaggioMP3 500,"Electric Starter
Windshield",,,Catalytic Converter,30 kW (41 hp),2016-09-01,493 cc,ABS,Grey,,,,,,"€ 6,389.-"
,,,L66054,,Naked Bike,,Manual,,Gasoline,,New,0 km,,GELB,,,,DucatiStreetfighter,Electric Starter,,,Catalytic Converter,153 kW (208 hp),,"1,103 cc",ABS,Yellow,,,,,,"€ 29,989.-1"
,,Apr-24,L65565,,Naked Bike,,Manual,,Gasoline,,Used,"28,258 km",,SCHWARZ,,,,TriumphStreet Triple 675,"Electric Starter
Windshield",,,Catalytic Converter,78 kW (106 hp),2007-10-01,675 cc,,Black,,,,,,"€ 4,989.-"
