Empty weight,Last timing belt change,General inspection,Offer number,Warranty,Body type,Paint,Gearbox,Cylinders,Fuel type,Gears,Type,Mileage,Full service history,Manufacturer colour,Seats,Last service,Production date,name,Comfort & Convenience,Model code,Emission class,Extras,Power,First registration,Engine size,Safety & Security,Colour,Previous owner,Country version,"Fuel consumption
2",Entertainment & Media,"CO₂-emissions
2",price
,,Aug-23,,,Naked Bike,Metallic,Manual,,Gasoline,6,Used,"43,000 km",,,,Jul-21,,HondaHornet,,,,,70 kW (95 hp),2000-06-01,600 cc,,Blue,2,,,,,"€ 2,300.-"
183 kg,,New,,,Supersport,,Manual,4,Gasoline,6,Used,"29,000 km",Yes,,,Jun-22,,HondaCBR 900,"Cover panel
Windshield",,,Sport suspension,111 kW (151 hp),2003-05-01,900 cc,Immobilizer,Red,1,,,,,"€ 4,390.-"
160 kg,,Aug-20,,,Scooter,,Automatic,,Gasoline,,Used,"1,118 km",Yes,,,Oct-21,,VespaGTS 300,"Electric Starter
Topcase",,Euro 4,,18 kW (24 hp),2020-08-01,278 cc,ABS,Black,1,,,,74 g/km (comb.),"€ 5,899.-"
,,Jun-23,,,Super Moto,,Manual,1,Gasoline,5,Used,"10,682 km",,,,Apr-22,,LuxxonSupermoto 125,Electric Starter,,,,8 kW (11 hp),2008-08-01,125 cc,,Black,2,,"2.8 l/100 km (comb.)
3 l/100 km (city)
2.5 l/100 km (country)",,,"€ 1,475.-"
,,May-22,,,Scooter,,Automatic,,Gasoline,,Used,"5,397 km",,,,,,KymcoXciting 500i,,,,,28 kW (38 hp),2010-05-01,,ABS,Silver,2,,,,,€ 590.-
,,,,,Chopper/Cruiser,,Manual,2,Gasoline,6,Used,"38,750 km",,,,Jun-21,,Harley-DavidsonDyna Switchback,"Cover panel
Crash bar
Cruise control
Electric Starter
Windshield",,,Catalytic Converter,56 kW (76 hp),2012-07-01,"1,765 cc","ABS
Alarm system
Immobilizer",Black,1,,,,,"€ 10,500.-"
232 kg,Feb-22,Feb-24,,,Scooter,Metallic,Automatic,1,Gasoline,,Used,"35,095 km",Yes,,,Feb-22,,PiaggioX 10,"Electric Starter
Topcase
Windshield",,Euro 5,,30 kW (41 hp),2013-04-01,493 cc,"ABS
Immobilizer",Beige,2,,,,,"€ 3,800.-"
,,,,,Others,,,,Gasoline,,Used,"18,000 km",,,,May-22,,KawasakiZ 1000,,,,,101 kW (137 hp),2011-11-01,,,White,,,,,,"€ 5,700.-"
,,,,,Naked Bike,Metallic,,,Gasoline,,Used,"29,800 km",,,,Mar-21,,HondaCB 600,"Crash bar
Electric Starter",,,,70 kW (95 hp),1998-06-01,,,Silver,,,,,,"€ 2,550.-"
,,Jun-23,,,Naked Bike,Metallic,Manual,2,Gasoline,6,Used,"18,495 km",,,,,,DucatiMonster 1100,"Electric Starter
Windshield",,,Catalytic Converter,70 kW (95 hp),2010-06-01,"1,079 cc",,Red,1,,,,,"€ 7,400.-"
,,Apr-24,,,Others,,,,Gasoline,,Used,"6,050 km",,,,,,KymcoMaxxer 300,,,,,15 kW (20 hp),2012-05-01,,,Black,,,,,,"€ 3,000.-"
138 kg,,,,,Others,,Manual,1,Gasoline,6,Used,"7,000 km",Yes,,,,,YamahaMT-125,,,,,11 kW (15 hp),2016-02-01,124 cc,ABS,Grey,,,,,,"€ 3,500.-"
,,,,,Scooter,,,,Gasoline,,Used,"31,500 km",,,,,,YamahaTMAX 530,,,,,33 kW (45 hp),2015-01-01,,,,,,,,,"€ 7,200.-"
,,,,,Others,,,,Gasoline,,Used,"41,746 km",Yes,,,,,SuzukiGSX 650,"Cover panel
Electric Starter
Topcase",,,,63 kW (86 hp),2015-04-01,,ABS,Black,,,,,,"€ 5,950.-"
213 kg,,,,,Sport touring,,Manual,2,Gasoline,6,Used,"73,300 km",Yes,,,,,SuzukiV-Strom 650,"Crash bar
Electric Starter
Topcase
Windshield",,,,49 kW (67 hp),2004-09-01,645 cc,,Grey,1,,5.5 l/100 km (comb.),MP3,,"€ 3,500.-"
223 kg,,Apr-22,,,Naked Bike,,,,Gasoline,,Used,"32,000 km",Yes,,,Apr-20,,SuzukiGSX 750,,,,,63 kW (86 hp),2002-02-01,750 cc,,Blue,3,,,,,"€ 1,700.-"
,,,,,Naked Bike,,Manual,2,Gasoline,,Used,"61,000 km",,,,,,DucatiMonster 600,,,,,39 kW (53 hp),1999-08-01,583 cc,,Black,2,,,,,"€ 1,000.-"
,,,,,Sport touring,Metallic,Manual,4,Gasoline,6,Used,"60,000 km",,,,,,YamahaFZS 600,"Electric Starter
Windshield",,,,70 kW (95 hp),1998-04-01,598 cc,,Black,,,,,,"€ 1,500.-"
,,,,,Others,,,,Gasoline,,Used,"19,000 km",,,,,,SuzukiGSX-R 1000,,,,,147 kW (200 hp),2008-01-01,,,Black,,,,,,"€ 8,000.-"
,,Jul-23,,,Scooter,,,,Gasoline,,Used,"62,000 km",,,,Jun-22,,YamahaTMAX 500,,,,,32 kW (44 hp),2009-07-01,,,White,,,,,,"€ 4,300.-"
,,,,,Others,,,,Gasoline,,Used,"24,000 km",,,,,,DucatiMonster 696,,,,,54 kW (73 hp),2008-06-01,,,White,,,,,,"€ 3,900.-"
