address,area,price,floor,room,buildingLine
19,136.0,36.0,6.0,5.0,4.0
19,142.0,16.8,4.0,3.0,8.0
11,66.0,23.0,4.0,5.0,15.0
20,120.0,25.0,5.0,2.0,15.0
4,76.0,5.02,4.0,4.0,30.0
18,100.0,0.02,16.0,8.0,10.0
11,190.0,35.5,10.0,6.0,30.0
18,50.0,15.5,6.0,6.0,21.0
18,40.0,4.0,4.0,5.0,15.0
18,40.0,7.9,4.0,5.0,8.0
18,63.0,16.8,4.0,6.0,10.0
15,38.0,9.8,4.0,5.0,8.0
15,35.0,9.2,4.0,5.0,30.0
15,85.0,12.8,4.0,5.0,21.0
15,60.0,12.0,12.0,7.0,10.0
15,60.0,11.0,4.0,4.0,12.0
15,35.0,9.2,3.0,3.0,10.0
20,30.0,2.68,4.0,4.0,10.0
12,100.0,31.8,3.0,1.0,20.0
14,54.0,6.5,3.0,4.0,4.0
18,61.0,9.0,5.0,5.0,15.0
18,97.0,6.4,1.0,1.0,40.0
12,110.0,17.7,4.0,4.0,8.0
15,45.0,2.95,4.0,4.0,6.0
15,35.0,4.2,2.0,1.0,6.0
18,55.0,14.5,9.0,4.0,15.0
18,52.0,6.1,3.0,3.0,4.0
12,106.0,17.4,3.0,3.0,6.0
20,65.0,9.5,8.0,5.0,4.0
15,52.0,3.65,4.0,4.0,10.0
9,44.0,5.5,3.0,5.0,4.0
9,29.0,4.65,3.0,3.0,10.0
12,105.0,17.5,3.0,3.0,6.0
9,51.0,5.3,4.0,4.0,5.0
12,108.0,17.35,3.0,3.0,6.0
9,51.0,5.3,4.0,4.0,5.0
9,29.0,4.65,3.0,3.0,10.0
12,105.0,17.5,3.0,3.0,6.0
9,51.0,5.3,4.0,4.0,5.0
12,108.0,17.35,3.0,3.0,6.0
9,51.0,5.3,4.0,4.0,5.0
12,107.0,17.3,3.0,3.0,6.0
9,36.0,5.3,3.0,5.0,5.0
9,28.0,3.6,3.0,6.0,5.0
19,54.0,5.15,2.0,2.0,5.0
19,105.0,30.0,13.0,8.0,3.0
19,30.0,4.6,3.0,4.0,10.0
19,62.0,7.6,5.0,6.0,8.0
19,200.0,68.0,10.0,7.0,10.0
9,60.0,5.7,3.0,4.0,4.0
16,43.0,4.25,8.0,6.0,3.0
4,35.0,2.7,2.0,2.0,8.0
4,45.0,4.0,4.0,4.0,3.5
4,45.0,7.2,5.0,5.0,10.0
4,32.0,2.35,3.0,4.0,2.0
13,142.0,115.0,6.0,4.0,6.0
4,45.0,4.0,4.0,4.0,3.5
4,45.0,7.2,5.0,5.0,10.0
4,32.0,2.35,3.0,4.0,2.0
13,142.0,115.0,6.0,4.0,6.0
4,38.0,3.15,4.0,5.0,8.0
14,40.0,3.15,4.0,4.0,15.0
20,60.0,15.0,3.0,4.0,15.0
4,36.0,2.95,4.0,5.0,0.0
11,37.0,3.7,5.0,4.0,9.0
9,32.0,7.3,4.0,3.0,8.0
11,49.0,12.7,4.0,4.0,40.0
19,126.0,65.0,5.0,5.0,10.0
10,185.0,41.0,6.0,3.0,8.0
9,69.0,35.0,8.0,5.0,15.0
11,65.0,4.8,5.0,7.0,9.0
9,20.0,17.5,5.0,6.0,9.0
13,72.0,38.0,4.0,4.0,9.0
19,150.0,29.0,20.0,8.0,5.0
20,24.0,2.9,4.0,4.0,7.0
20,80.0,15.5,8.0,7.0,7.0
11,37.0,3.7,4.0,4.0,2.5
9,32.0,7.3,4.0,3.0,8.0
11,49.0,12.7,4.0,5.0,7.0
19,126.0,65.0,5.0,5.0,10.0
10,185.0,41.0,6.0,5.0,8.0
9,69.0,35.0,8.0,5.0,15.0
11,65.0,4.8,6.0,4.0,9.0
9,20.0,17.5,5.0,6.0,9.0
13,72.0,38.0,4.0,4.0,9.0
19,150.0,29.0,20.0,8.0,5.0
20,24.0,2.9,5.0,4.0,13.0
20,80.0,15.5,8.0,7.0,7.0
19,110.0,35.0,10.0,6.0,4.0
9,70.0,9.4,4.0,4.0,20.0
14,40.0,3.6,3.0,3.0,4.5
20,50.0,15.8,6.0,5.0,6.0
18,24.0,3.95,3.0,5.0,7.0
18,25.0,3.95,3.0,5.0,7.0
18,76.0,13.5,2.0,3.0,8.0
18,75.0,13.0,3.0,2.0,7.0
18,25.0,3.95,3.0,5.0,7.0
18,76.0,13.5,2.0,3.0,8.0
18,75.0,13.0,3.0,2.0,7.0
19,150.0,29.5,1.0,1.0,5.0
18,60.0,10.5,4.0,5.0,5.0
15,100.0,23.5,5.0,4.0,10.0
19,177.0,63.0,15.0,7.0,4.0
15,126.0,19.5,4.0,4.0,8.0
18,57.0,6.8,2.0,2.0,15.0
18,70.0,9.85,4.0,3.0,8.0
15,100.0,9.6,4.0,4.0,8.0
20,31.0,8.8,4.0,4.0,15.0
15,60.0,13.5,4.0,5.0,8.0
19,133.0,41.0,13.0,7.0,3.0
20,96.0,11.6,4.0,5.0,4.0
12,46.0,11.2,4.0,5.0,1.0
20,31.0,18.5,3.0,5.0,10.0
18,84.0,68.0,6.0,6.0,50.0
13,58.0,13.0,4.0,3.0,50.0
11,60.0,68.0,4.0,6.0,10.0
13,58.0,13.0,4.0,3.0,50.0
11,60.0,46.5,4.0,6.0,10.0
19,105.0,23.0,27.0,10.0,25.0
11,60.0,25.0,4.0,6.0,8.0
11,100.0,21.0,23.0,10.0,8.0
13,41.0,19.0,4.0,4.0,25.0
12,50.0,18.9,5.0,5.0,20.0
20,66.0,14.0,5.0,9.0,10.0
11,96.0,12.5,4.0,4.0,6.0
20,90.0,35.0,6.0,5.0,10.0
19,107.0,70.0,12.0,7.0,5.0
19,205.0,12.0,10.0,10.0,15.0
20,74.0,10.0,4.0,7.0,5.0
11,55.0,4.0,4.0,4.0,10.0
11,30.0,11.5,4.0,5.0,6.0
18,52.0,8.3,4.0,4.0,10.0
12,45.0,19.0,3.0,3.0,10.0
12,90.0,15.5,4.0,4.0,50.0
11,60.0,16.9,6.0,5.0,8.0
20,40.0,8.3,6.0,5.0,15.0
12,45.0,19.0,3.0,3.0,10.0
12,90.0,15.5,4.0,4.0,50.0
11,60.0,16.9,6.0,5.0,8.0
20,40.0,8.3,6.0,5.0,15.0
20,45.0,25.0,4.0,5.0,3.5
18,81.0,150.0,8.0,6.0,7.0
19,271.0,9.8,20.0,6.0,20.0
20,65.0,7.95,4.0,4.0,10.0
20,45.0,10.0,4.0,4.0,7.0
20,50.0,35.0,4.0,4.0,8.0
13,35.0,15.0,5.0,5.0,20.0
11,65.0,16.0,3.0,5.0,8.0
11,65.0,14.5,2.0,3.0,20.0
18,31.0,4.0,4.0,6.0,15.0
18,95.0,12.8,1.0,1.0,40.0
18,64.0,18.5,6.0,4.0,7.0
12,81.0,12.5,6.0,5.0,30.0
18,50.0,12.6,8.0,7.0,7.0
20,62.0,6.0,5.0,5.0,15.0
20,55.0,6.0,4.0,5.0,6.0
20,55.0,19.5,4.0,5.0,6.0
13,38.0,13.0,3.0,3.0,15.0
11,52.0,6.4,4.0,6.0,10.0
18,99.0,30.3,1.0,1.0,40.0
20,70.0,8.5,4.0,3.0,25.0
18,53.0,7.0,3.0,3.0,10.0
20,70.0,45.0,4.0,5.0,3.0
20,120.0,17.0,12.0,7.0,60.0
18,78.0,15.2,15.0,8.0,5.0
18,50.0,3.6,2.0,4.0,4.0
4,43.0,18.9,2.0,2.0,5.0
18,50.0,15.0,6.0,6.0,30.0
11,50.0,13.2,6.0,7.0,20.0
11,42.0,18.81,6.0,5.0,10.0
12,99.0,32.0,3.0,3.0,50.0
19,132.0,12.8,8.0,8.0,6.0
20,61.0,43.0,6.0,6.0,8.0
19,73.0,56.0,6.0,5.0,8.0
11,81.0,7.2,8.0,8.0,30.0
20,32.0,7.2,4.0,5.0,5.0
20,32.0,28.0,4.0,5.0,5.0
20,100.0,58.0,5.0,6.0,25.0
13,110.0,38.0,6.0,2.0,20.0
12,103.0,12.0,4.0,4.0,25.0
11,80.0,39.0,4.0,4.0,6.0
13,45.0,19.0,4.0,5.0,25.0
20,65.0,10.0,4.0,4.0,20.0
11,60.0,4.8,5.0,5.0,10.0
11,55.0,9.0,4.0,6.0,9.0
18,70.0,15.0,4.0,3.0,10.0
18,100.0,23.5,5.0,5.0,20.0
11,75.0,28.5,4.0,7.0,50.0
11,110.0,15.0,40.0,9.0,3.0
14,90.0,52.0,18.0,8.0,4.0
19,64.0,34.0,6.0,6.0,30.0
11,100.0,26.0,8.0,6.0,24.0
11,62.0,14.0,2.0,2.0,24.0
18,70.0,23.5,4.0,5.0,6.0
11,95.0,13.1,4.0,4.0,15.0
17,60.0,26.0,6.0,5.0,5.0
11,62.0,14.0,2.0,2.0,24.0
18,70.0,23.5,4.0,5.0,6.0
11,95.0,13.1,4.0,4.0,15.0
17,60.0,14.0,6.0,5.0,5.0
18,70.0,15.0,4.0,5.0,6.0
14,90.0,23.0,18.0,8.0,4.0
18,62.0,20.0,8.0,6.0,15.0
11,50.0,11.0,4.0,5.0,24.0
11,30.0,6.0,4.0,6.0,6.0
20,55.0,23.7,4.0,5.0,6.0
19,237.0,29.0,3.0,2.0,6.0
20,71.0,23.0,4.0,5.0,30.0
17,110.0,54.0,21.0,8.0,5.0
17,255.0,26.5,1.0,1.0,30.0
17,111.0,25.0,4.0,5.0,25.0
17,85.0,10.0,4.0,7.0,10.0
20,42.0,9.0,3.0,3.0,15.0
20,50.0,21.0,4.0,4.0,6.0
11,56.0,19.5,4.0,6.0,50.0
11,75.0,24.5,6.0,6.0,8.0
11,70.0,10.5,4.0,7.0,30.0
10,65.0,21.2,4.0,4.0,10.0
11,90.0,28.2,6.0,5.0,10.0
11,120.0,16.0,6.0,5.0,10.0
19,50.0,23.3,4.0,5.0,15.0
11,75.0,16.0,4.0,7.0,8.0
19,77.0,4.0,5.0,4.0,3.0
18,97.0,20.5,1.0,1.0,40.0
9,29.0,8.7,3.0,4.0,15.0
19,43.0,73.0,2.0,2.0,2.0
20,220.0,19.0,6.0,5.0,30.0
9,153.0,5.0,5.0,5.0,8.0
19,40.0,50.0,4.0,3.0,3.0
9,52.0,21.0,10.0,10.0,50.0
19,88.0,27.0,6.0,7.0,3.0
11,100.0,20.0,21.0,10.0,8.0
19,75.0,12.0,12.0,8.0,5.0
11,80.0,16.5,4.0,4.0,6.0
18,63.0,12.0,7.0,6.0,8.0
11,64.0,16.5,4.0,5.0,8.0
18,63.0,12.0,7.0,6.0,8.0
11,64.0,20.0,4.0,5.0,8.0
17,122.0,15.0,4.0,4.0,30.0
11,60.0,4.7,4.0,6.0,6.0
20,54.0,15.0,4.0,4.0,3.0
9,61.0,9.5,2.0,2.0,9.0
18,33.0,12.5,3.0,4.0,30.0
18,48.0,18.1,4.0,4.0,10.0
12,50.0,0.02,4.0,5.0,1.0
20,66.0,19.6,2.0,3.0,20.0
18,100.0,12.0,16.0,8.0,10.0
18,64.0,18.0,5.0,7.0,10.0
14,50.0,10.8,5.0,5.0,1.0
18,72.0,16.2,2.0,2.0,7.0
18,58.0,16.0,3.0,5.0,4.0
18,55.0,41.0,8.0,6.0,7.0
11,65.0,13.5,4.0,5.0,30.0
19,109.0,75.0,1.0,1.0,50.0
19,65.0,75.0,6.0,5.0,15.0
20,107.0,22.7,4.0,6.0,20.0
20,107.0,280.0,4.0,6.0,20.0
19,100.0,0.0,6.0,7.0,1.0
19,1100.0,29.0,1.0,13.0,20.0
19,491.0,88.0,6.0,4.0,15.0
20,59.0,0.0,4.0,5.0,40.0
19,228.0,11.0,4.0,4.0,15.0
9,90.0,13.5,3.0,4.0,15.0
19,75.0,0.0,6.0,7.0,7.0
18,63.0,0.0,2.0,4.0,8.0
17,1815.0,67.9,4.0,24.0,5.0
19,115.0,0.0,3.0,3.0,15.0
19,189.0,45.0,4.0,3.0,20.0
20,219.0,10.9,5.0,4.0,15.0
19,105.0,24.5,14.0,6.0,10.0
18,47.0,0.01,4.0,6.0,7.0
11,60.0,79.0,5.0,6.0,20.0
18,55.0,9.4,4.0,4.0,4.0
18,247.0,25.0,4.0,10.0,5.0
10,33.0,9.4,3.0,5.0,6.0
18,58.0,25.0,2.0,3.0,20.0
10,33.0,75.0,3.0,5.0,20.0
18,58.0,40.0,2.0,3.0,20.0
19,200.0,15.0,9.0,9.0,20.0
11,62.0,20.5,8.0,8.0,15.0
18,72.0,0.0,4.0,3.0,8.0
20,55.0,12.6,16.0,8.0,10.0
19,35.0,23.0,6.0,6.0,6.0
20,33.0,9.05,3.0,6.0,12.0
11,57.0,18.0,6.0,6.0,2.0
18,54.0,10.5,6.0,4.0,7.0
11,57.0,14.5,1.0,1.0,2.0
18,53.0,20.0,5.0,4.0,8.0
11,35.0,59.0,4.0,5.0,2.0
